
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 19:48:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_DWcuts_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 520 rows, 2200 columns and 6600 nonzeros
Model fingerprint: 0x607dd556
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e-10, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-13, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2 rows and 1 columns
Presolve time: 0.02s
Presolved: 518 rows, 2199 columns, 6567 nonzeros
Variable types: 0 continuous, 2199 integer (2199 binary)
Found heuristic solution: objective -4827.000000

Root relaxation: objective -4.013020e+04, 3543 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.198    0   63 -4827.0000 -40130.198   731%     -    0s
H    0     0                    -36603.00000 -40130.198  9.64%     -    0s
H    0     0                    -37669.00000 -40130.198  6.53%     -    0s
H    0     0                    -38121.00000 -40130.198  5.27%     -    0s
H    0     0                    -38373.00000 -40130.198  4.58%     -    0s
H    0     0                    -38556.00000 -40130.198  4.08%     -    0s
     0     0 -40130.198    0  128 -38556.000 -40130.198  4.08%     -    0s
H    0     0                    -38732.00000 -40130.198  3.61%     -    0s
     0     0 -40130.198    0  125 -38732.000 -40130.198  3.61%     -    0s
     0     0 -40130.198    0  101 -38732.000 -40130.198  3.61%     -    0s
     0     0 -40130.198    0  104 -38732.000 -40130.198  3.61%     -    0s
     0     0 -40130.198    0   88 -38732.000 -40130.198  3.61%     -    0s
     0     0 -40130.198    0   74 -38732.000 -40130.198  3.61%     -    0s
     0     2 -40130.198    0   68 -38732.000 -40130.198  3.61%     -    0s
H   32    35                    -38738.00000 -40130.198  3.59%   365    0s
H   83    95                    -38949.00000 -40130.198  3.03%   293    1s
H   94   203                    -39123.00000 -40130.198  2.57%   289    1s
H  208   203                    -39132.00014 -40130.198  2.55%   152    1s
H  728   544                    -39301.00000 -40130.198  2.11%   107    2s
H 1043   738                    -39307.00000 -40130.198  2.09%   104    2s
H 1048   704                    -39387.00000 -40130.198  1.89%   104    3s
  1072   725 -40095.007   17  162 -39387.000 -40130.198  1.89%   117    5s
H 1178   763                    -39470.00000 -40130.198  1.67%   120    6s
  3776  2484 -40123.740   48  107 -39470.000 -40130.198  1.67%  76.8   10s
H 6019  4044                    -39473.00000 -40130.198  1.66%  67.5   12s
  8113  6061 -39527.596  102  127 -39473.000 -40130.198  1.66%  64.5   15s
H11865  8653                    -39488.00000 -40130.198  1.63%  64.6   19s
 13210  9734 -39974.546   73   94 -39488.000 -40130.198  1.63%  63.5   20s
H13501  9558                    -39517.00000 -40130.198  1.55%  63.3   20s
H14430  9557                    -39571.00000 -40130.198  1.41%  62.9   21s
 18269 12862 -39640.454   57   86 -39571.000 -40130.198  1.41%  61.0   25s
 21138 14452 -39621.461   52   74 -39571.000 -40130.198  1.41%  61.3   36s
 21152 14466 -40130.198   29   85 -39571.000 -40130.198  1.41%  61.9   40s
 21316 14679 -40123.318   49  156 -39571.000 -40130.198  1.41%  63.4   45s
 22795 15470 -39819.643   83  117 -39571.000 -40130.198  1.41%  66.1   50s
 24778 16396 -40005.145   54  170 -39571.000 -40130.198  1.41%  68.0   55s
 28395 18125 -39992.189   53  180 -39571.000 -40130.198  1.41%  68.8   60s
 32821 19843 -39994.755   53  163 -39571.000 -40130.186  1.41%  68.1   65s
 36438 21055 -39829.982   72  145 -39571.000 -40130.150  1.41%  67.6   70s
 39593 22308 -39675.755   83  121 -39571.000 -40130.085  1.41%  67.6   75s
 43673 23716 -39986.607   58  180 -39571.000 -40129.994  1.41%  68.0   80s
 47406 24941 -39936.902   52   95 -39571.000 -40129.826  1.41%  68.1   85s
 50456 26047 -39788.055   65   82 -39571.000 -40129.712  1.41%  68.9   90s
 54193 27296 -39907.194   57  161 -39571.000 -40129.570  1.41%  69.1   95s
 57735 28670 -40128.558   46  145 -39571.000 -40129.432  1.41%  69.6  100s
 61350 29934 -40102.376   55  137 -39571.000 -40129.248  1.41%  69.7  105s
 64773 31243 -39836.591   68  131 -39571.000 -40129.052  1.41%  70.1  110s
 68511 33729 -39585.434   82  122 -39571.000 -40128.912  1.41%  70.7  115s
 71897 36129 -39966.916   47  150 -39571.000 -40128.848  1.41%  71.2  120s
 75789 38504     cutoff  115      -39571.000 -40128.723  1.41%  71.1  125s
 78632 40321 -39720.711   52  100 -39571.000 -40128.593  1.41%  71.4  130s
 81618 42494     cutoff   55      -39571.000 -40128.473  1.41%  71.6  135s
 85954 45221 -39892.717   50  137 -39571.000 -40128.281  1.41%  71.3  140s
 90700 48165 -39844.234   77  144 -39571.000 -40128.060  1.41%  70.9  145s
 93189 49748 -40115.942   40  150 -39571.000 -40127.965  1.41%  71.2  150s
 97500 52659     cutoff   72      -39571.000 -40127.858  1.41%  71.2  155s
 100943 55006 -40023.132   54  113 -39571.000 -40127.782  1.41%  71.3  160s
 104590 57258 -39803.501   65  144 -39571.000 -40127.678  1.41%  71.6  165s
 108048 59514     cutoff   67      -39571.000 -40127.585  1.41%  71.6  170s
 111053 61494 -40077.809   62  172 -39571.000 -40127.472  1.41%  71.6  175s
 115650 64374 -39711.206   55  132 -39571.000 -40127.316  1.41%  71.5  180s
 119378 66661 -39716.248   69  122 -39571.000 -40127.214  1.41%  71.5  185s
 123175 68854     cutoff   76      -39571.000 -40127.107  1.41%  71.4  190s
 126696 71418 -39910.096   51  145 -39571.000 -40126.941  1.40%  71.4  195s
 130241 73645 -40104.296   55  151 -39571.000 -40126.867  1.40%  71.5  200s
 134017 76139 -39951.005   53  131 -39571.000 -40126.737  1.40%  71.4  205s
 137390 78237 -40056.802   55   98 -39571.000 -40126.632  1.40%  71.4  210s
 141815 80920 -39731.967   79  100 -39571.000 -40126.511  1.40%  71.3  215s
 145421 83213 -39726.492   62  133 -39571.000 -40126.385  1.40%  71.1  220s
 149693 85965 -39929.912   62  123 -39571.000 -40126.235  1.40%  71.0  225s
 153656 88516 -39974.134   57  138 -39571.000 -40126.126  1.40%  71.0  230s
 157857 91020 -40084.569   51  167 -39571.000 -40125.973  1.40%  70.9  235s
 161728 93492 -39949.735   65  129 -39571.000 -40125.853  1.40%  70.8  240s
 165537 95944 -39628.910   61   94 -39571.000 -40125.744  1.40%  70.7  245s
 168945 98117     cutoff   73      -39571.000 -40125.615  1.40%  70.8  250s
 173031 100663 -40027.806   55  140 -39571.000 -40125.484  1.40%  70.5  255s
 176931 103170 -39976.084   65  131 -39571.000 -40125.366  1.40%  70.5  260s
 180855 105734 -40116.300   46  158 -39571.000 -40125.216  1.40%  70.4  265s
 184230 107865 -39893.678   67  171 -39571.000 -40125.135  1.40%  70.5  270s
 187761 110316 -40117.848   52  162 -39571.000 -40125.041  1.40%  70.6  275s
 191649 112630 -39947.931   65  126 -39571.000 -40124.929  1.40%  70.6  280s
 194021 114300 -40118.627   44  145 -39571.000 -40124.913  1.40%  70.9  285s
 198109 116941 -39985.334   61  122 -39571.000 -40124.873  1.40%  71.0  290s
 201201 119213 -40018.791   66  143 -39571.000 -40124.836  1.40%  71.1  295s
 205812 122005 -39639.991   85   86 -39571.000 -40124.770  1.40%  71.1  300s
 209581 124398 -39584.172   70  119 -39571.000 -40124.688  1.40%  71.2  305s
 212108 126243 -39601.328   73  125 -39571.000 -40124.637  1.40%  71.3  310s
 217597 129652 -39731.445   60  140 -39571.000 -40124.524  1.40%  71.3  315s
 222801 132865 -39780.954   63  123 -39571.000 -40124.425  1.40%  71.3  320s
 228311 136585 -39698.154   63   99 -39571.000 -40124.326  1.40%  71.4  325s
 233156 139894 -39719.553   79   78 -39571.000 -40124.222  1.40%  71.4  330s
 238019 143005 -39645.984   80   81 -39571.000 -40124.134  1.40%  71.5  335s
 243922 146767 -39575.786   69  111 -39571.000 -40124.022  1.40%  71.4  340s
 249124 149984 -39596.401   69  127 -39571.000 -40123.912  1.40%  71.4  345s
 253967 153046 -39790.279   70  169 -39571.000 -40123.841  1.40%  71.5  350s
