
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 18:47:58 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_objLB_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 321 rows, 2200 columns and 6400 nonzeros
Model fingerprint: 0x474cb60e
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 4e+04]
Found heuristic solution: objective 0.0000000
Presolve removed 20 rows and 20 columns
Presolve time: 0.02s
Presolved: 301 rows, 2180 columns, 6360 nonzeros
Variable types: 0 continuous, 2180 integer (2180 binary)
Found heuristic solution: objective -18216.00000

Root relaxation: objective -4.013000e+04, 693 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.000    0   53 -18216.000 -40130.000   120%     -    0s
H    0     0                    -35751.00000 -40130.000  12.2%     -    0s
H    0     0                    -36702.00000 -40130.000  9.34%     -    0s
H    0     0                    -37071.00000 -40130.000  8.25%     -    0s
     0     0 -40130.000    0   87 -37071.000 -40130.000  8.25%     -    0s
H    0     0                    -37958.00000 -40130.000  5.72%     -    0s
H    0     0                    -38346.00000 -40130.000  4.65%     -    0s
     0     0 -40130.000    0   68 -38346.000 -40130.000  4.65%     -    0s
H    0     0                    -38526.00000 -40130.000  4.16%     -    0s
     0     0 -40130.000    0   64 -38526.000 -40130.000  4.16%     -    0s
     0     0 -40130.000    0   56 -38526.000 -40130.000  4.16%     -    0s
     0     2 -40130.000    0   50 -38526.000 -40130.000  4.16%     -    0s
H   80   113                    -38593.00000 -40130.000  3.98%  91.0    0s
H  226   391                    -38760.00000 -40130.000  3.53%  89.0    0s
H  803   655                    -38840.00000 -40130.000  3.32%  66.3    1s
H 1156   797                    -39001.00000 -40130.000  2.89%  58.9    2s
H 1190   783                    -39074.00000 -40130.000  2.70%  69.9    3s
H 1217   787                    -39213.00000 -40130.000  2.34%  69.8    3s
H 1238   744                    -39398.00005 -40130.000  1.86%  69.8    3s
  1766  1666 -40098.042   44   47 -39398.000 -40130.000  1.86%  64.4    5s
 11107  7525 -40130.000   45   55 -39398.000 -40130.000  1.86%  37.8   10s
 20649 14339 -39805.014   77   30 -39398.000 -40130.000  1.86%  33.3   15s
 32521 21267 -39619.281   84   25 -39398.000 -40130.000  1.86%  30.7   20s
 45977 29773 -40010.178   58   73 -39398.000 -40130.000  1.86%  30.0   25s
H52129 32348                    -39491.00000 -40130.000  1.62%  30.1   27s
 54716 34106 -40130.000   49   63 -39491.000 -40130.000  1.62%  30.0   30s
 66746 41765 -40003.600   72   63 -39491.000 -40130.000  1.62%  30.5   35s
 76488 48663 -40130.000   56   74 -39491.000 -40130.000  1.62%  30.6   40s
 89819 57276 -39755.556   64   57 -39491.000 -40130.000  1.62%  30.4   45s
 98896 63003 -40062.221   77   57 -39491.000 -40130.000  1.62%  30.2   50s
 113856 72116 -40130.000   61   54 -39491.000 -40130.000  1.62%  30.0   55s
 128210 80051 -40130.000   53   66 -39491.000 -40130.000  1.62%  29.8   60s
 140533 87058 -39940.594   74   50 -39491.000 -40130.000  1.62%  29.6   65s
 153577 94446 -39736.159   71   36 -39491.000 -40130.000  1.62%  29.2   70s
 168173 103270 -39967.051   66   62 -39491.000 -40130.000  1.62%  28.9   75s
 179687 110444 -39897.277   82   46 -39491.000 -40130.000  1.62%  29.2   80s
 191148 117586 -40008.621   43   67 -39491.000 -40130.000  1.62%  29.2   85s
 206531 126101 -39786.311   70   56 -39491.000 -40130.000  1.62%  29.2   90s
 215739 131161 -39951.731   71   46 -39491.000 -40130.000  1.62%  29.3   95s
 228861 138156 -40130.000   64   52 -39491.000 -40130.000  1.62%  29.4  100s
 241733 146891 -39805.464   79   56 -39491.000 -40130.000  1.62%  29.5  105s
 254181 152217 -40130.000   56   62 -39491.000 -40130.000  1.62%  29.5  110s
 264601 158844     cutoff   69      -39491.000 -40130.000  1.62%  29.6  115s
 275760 165600 -40130.000   56   58 -39491.000 -40130.000  1.62%  29.7  120s
 288787 172857 -40006.727   57   61 -39491.000 -40130.000  1.62%  29.6  125s
 303870 181511 -39603.441   91   40 -39491.000 -40130.000  1.62%  29.6  130s
 314230 187979 -39798.271   87   35 -39491.000 -40130.000  1.62%  29.7  135s
 326070 195409 -40096.582   72   58 -39491.000 -40130.000  1.62%  29.8  140s
 338276 202383 -39852.525   66   54 -39491.000 -40130.000  1.62%  29.8  145s
 348637 208787 -40025.569   49   76 -39491.000 -40130.000  1.62%  29.9  150s
 360180 216765 -39961.435   52   61 -39491.000 -40130.000  1.62%  29.9  155s
 371402 224095 -39931.923   61   73 -39491.000 -40130.000  1.62%  30.0  160s
 379796 228719 -39989.850   67   55 -39491.000 -40130.000  1.62%  30.1  166s
 391434 236194 -40130.000   51   52 -39491.000 -40130.000  1.62%  30.2  170s
 401397 242248 -40130.000   55   47 -39491.000 -40130.000  1.62%  30.3  175s
 415672 250024 -39838.212   56   52 -39491.000 -40130.000  1.62%  30.3  180s
 424581 254948 -39706.655   48   64 -39491.000 -40130.000  1.62%  30.3  185s
 440849 263474 -40005.153   49   47 -39491.000 -40130.000  1.62%  30.3  190s
 451741 269479 -39916.653   61   58 -39491.000 -40130.000  1.62%  30.3  195s
 462308 276527 -39955.784   59   63 -39491.000 -40130.000  1.62%  30.2  200s
 474009 282243 -39858.215   61   55 -39491.000 -40130.000  1.62%  30.2  205s
 487232 289578 -40130.000   42   76 -39491.000 -40130.000  1.62%  30.2  211s
 498027 295650 -40000.037   74   47 -39491.000 -40130.000  1.62%  30.2  215s
 510579 303188 -40130.000   53   53 -39491.000 -40130.000  1.62%  30.2  220s
 522611 310047 -39708.299   57   47 -39491.000 -40130.000  1.62%  30.1  225s
 534486 316459 -40112.901   48   73 -39491.000 -40130.000  1.62%  30.2  230s
 549624 325139 -40073.178   56   59 -39491.000 -40130.000  1.62%  30.2  235s
 560148 331604 -40125.982   51   53 -39491.000 -40130.000  1.62%  30.2  240s
 572440 338386 -39938.797   59   52 -39491.000 -40130.000  1.62%  30.2  245s
 583277 345132 -39855.630   67   52 -39491.000 -40130.000  1.62%  30.2  250s
 592251 350210     cutoff   49      -39491.000 -40130.000  1.62%  30.2  255s
 606818 358779 -39883.433   64   55 -39491.000 -40130.000  1.62%  30.2  260s
 620983 367498 -40130.000   60   81 -39491.000 -40130.000  1.62%  30.1  265s
 633389 374963 -39946.207   73   53 -39491.000 -40130.000  1.62%  30.1  270s
 644192 381247 -40013.347   61   61 -39491.000 -40130.000  1.62%  30.1  275s
 657857 388788     cutoff   67      -39491.000 -40130.000  1.62%  30.1  280s
 671251 396708 -40022.189   55   53 -39491.000 -40130.000  1.62%  30.1  285s
 684576 404695 -40093.482   65   46 -39491.000 -40130.000  1.62%  30.0  290s
 693258 409336 -40119.742   40   77 -39491.000 -40130.000  1.62%  30.0  295s
 710119 419657 -40130.000   67   58 -39491.000 -40130.000  1.62%  30.0  300s
 721319 425876 -39899.478   60   53 -39491.000 -40130.000  1.62%  30.0  305s
 734097 433897 -39803.862   77   48 -39491.000 -40130.000  1.62%  30.0  310s
 745886 441097 -39845.808   51   56 -39491.000 -40130.000  1.62%  30.1  315s
 758984 448860 -39653.413   38   59 -39491.000 -40130.000  1.62%  30.1  320s
 769794 454979 -39848.792   76   65 -39491.000 -40130.000  1.62%  30.0  325s
 784175 463970 -40078.768   67   57 -39491.000 -40130.000  1.62%  30.0  330s
 795794 470577 -39955.576   81   58 -39491.000 -40130.000  1.62%  30.0  335s
 806862 477207     cutoff   63      -39491.000 -40130.000  1.62%  30.0  340s
 820220 484535 -39981.372   61   57 -39491.000 -40130.000  1.62%  30.0  345s
