
Gurobi 9.5.0 (linux64) logging started Fri Apr 15 16:22:57 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R20_M20_N100_seed1_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 520 rows, 2400 columns and 4800 nonzeros
Model fingerprint: 0x3d0a492e
Variable types: 0 continuous, 2400 integer (2400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 94 rows and 472 columns
Presolve time: 0.01s
Presolved: 426 rows, 1928 columns, 3856 nonzeros
Found heuristic solution: objective -22900.00000
Variable types: 0 continuous, 1928 integer (1928 binary)
Found heuristic solution: objective -22923.00000

Root relaxation: objective -4.486996e+04, 1382 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -44869.959    0   68 -22923.000 -44869.959  95.7%     -    0s
H    0     0                    -35732.00000 -44869.959  25.6%     -    0s
H    0     0                    -36198.00000 -44869.959  24.0%     -    0s
H    0     0                    -37860.00000 -44869.959  18.5%     -    0s
     0     0 -44756.834    0  114 -37860.000 -44756.834  18.2%     -    0s
     0     0 -44747.670    0  121 -37860.000 -44747.670  18.2%     -    0s
     0     0 -44741.273    0  121 -37860.000 -44741.273  18.2%     -    0s
     0     0 -44505.767    0  118 -37860.000 -44505.767  17.6%     -    0s
H    0     0                    -38422.00000 -44505.767  15.8%     -    0s
H    0     0                    -38502.00000 -44500.843  15.6%     -    0s
     0     0 -44497.663    0  120 -38502.000 -44497.663  15.6%     -    0s
     0     0 -44495.417    0  114 -38502.000 -44495.417  15.6%     -    0s
     0     0 -44495.379    0  113 -38502.000 -44495.379  15.6%     -    0s
     0     0 -44349.084    0  164 -38502.000 -44349.084  15.2%     -    0s
H    0     0                    -38923.00000 -44330.641  13.9%     -    0s
     0     0 -44330.641    0  155 -38923.000 -44330.641  13.9%     -    0s
     0     0 -44330.318    0  164 -38923.000 -44330.318  13.9%     -    0s
H    0     0                    -39018.00000 -44330.318  13.6%     -    0s
     0     0 -44147.304    0  183 -39018.000 -44147.304  13.1%     -    0s
     0     0 -44074.440    0  186 -39018.000 -44074.440  13.0%     -    0s
H    0     0                    -39545.00000 -44057.226  11.4%     -    0s
     0     0 -44057.226    0  176 -39545.000 -44057.226  11.4%     -    0s
     0     0 -44048.830    0  189 -39545.000 -44048.830  11.4%     -    0s
     0     0 -44046.550    0  192 -39545.000 -44046.550  11.4%     -    0s
     0     0 -44046.466    0  196 -39545.000 -44046.466  11.4%     -    0s
     0     0 -43907.359    0  192 -39545.000 -43907.359  11.0%     -    0s
H    0     0                    -39859.00000 -43812.616  9.92%     -    0s
H    0     0                    -40817.00000 -43812.616  7.34%     -    0s
     0     0 -43812.616    0  156 -40817.000 -43812.616  7.34%     -    0s
H    0     0                    -40965.00000 -43794.513  6.91%     -    0s
     0     0 -43794.513    0  194 -40965.000 -43794.513  6.91%     -    0s
     0     0 -43794.060    0  207 -40965.000 -43794.060  6.91%     -    0s
     0     0 -43499.091    0  193 -40965.000 -43499.091  6.19%     -    0s
H    0     0                    -41284.00000 -43402.229  5.13%     -    0s
     0     0 -43402.229    0  185 -41284.000 -43402.229  5.13%     -    0s
     0     0 -43398.440    0  176 -41284.000 -43398.440  5.12%     -    0s
     0     0 -43398.440    0  176 -41284.000 -43398.440  5.12%     -    0s
     0     0 -43338.183    0  186 -41284.000 -43338.183  4.98%     -    0s
     0     0 -43323.417    0  176 -41284.000 -43323.417  4.94%     -    0s
     0     0 -43317.077    0  165 -41284.000 -43317.077  4.92%     -    0s
     0     0 -43314.299    0  163 -41284.000 -43314.299  4.92%     -    0s
     0     0 -43235.333    0  229 -41284.000 -43235.333  4.73%     -    0s
     0     0 -43219.371    0  211 -41284.000 -43219.371  4.69%     -    0s
     0     0 -43209.820    0  226 -41284.000 -43209.820  4.66%     -    0s
     0     0 -43208.427    0  193 -41284.000 -43208.427  4.66%     -    0s
     0     0 -43098.390    0  212 -41284.000 -43098.390  4.39%     -    0s
H    0     0                    -41655.00000 -43098.390  3.47%     -    0s
     0     0 -43074.039    0  230 -41655.000 -43074.039  3.41%     -    0s
     0     0 -43071.662    0  223 -41655.000 -43071.662  3.40%     -    0s
     0     0 -42961.020    0  212 -41655.000 -42961.020  3.14%     -    0s
     0     0 -42948.798    0  204 -41655.000 -42948.798  3.11%     -    0s
     0     0 -42944.708    0  201 -41655.000 -42944.708  3.10%     -    0s
     0     0 -42944.230    0  199 -41655.000 -42944.230  3.10%     -    0s
     0     0 -42801.688    0  188 -41655.000 -42801.688  2.75%     -    0s
     0     0 -42779.282    0  214 -41655.000 -42779.282  2.70%     -    0s
     0     0 -42776.292    0  223 -41655.000 -42776.292  2.69%     -    0s
