
Gurobi 9.5.0 (linux64) logging started Wed May  4 15:08:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed10_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x23255d21
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 97 rows and 782 columns
Presolve time: 0.03s
Presolved: 883 rows, 5968 columns, 11936 nonzeros
Variable types: 0 continuous, 5968 integer (5968 binary)
Found heuristic solution: objective -41346.00000

Root relaxation: objective -8.392161e+04, 3274 iterations, 0.04 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -83921.607    0  122 -41346.000 -83921.607   103%     -    0s
H    0     0                    -71814.00000 -83921.607  16.9%     -    0s
H    0     0                    -73839.00000 -83921.607  13.7%     -    0s
H    0     0                    -74962.00000 -83921.607  12.0%     -    0s
H    0     0                    -76383.00000 -83910.458  9.85%     -    0s
     0     0 -83910.458    0  188 -76383.000 -83910.458  9.85%     -    0s
H    0     0                    -77155.00000 -83910.458  8.76%     -    0s
     0     0 -83910.458    0  189 -77155.000 -83910.458  8.76%     -    0s
     0     0 -83907.563    0  210 -77155.000 -83907.563  8.75%     -    0s
     0     0 -83907.137    0  202 -77155.000 -83907.137  8.75%     -    0s
     0     0 -83907.134    0  177 -77155.000 -83907.134  8.75%     -    0s
     0     0 -83902.701    0  240 -77155.000 -83902.701  8.75%     -    0s
     0     0 -83900.825    0  249 -77155.000 -83900.825  8.74%     -    0s
     0     0 -83900.066    0  205 -77155.000 -83900.066  8.74%     -    0s
     0     0 -83900.048    0  206 -77155.000 -83900.048  8.74%     -    0s
     0     0 -83895.919    0  201 -77155.000 -83895.919  8.74%     -    0s
H    0     0                    -77175.00000 -83895.919  8.71%     -    0s
     0     0 -83895.328    0  208 -77175.000 -83895.328  8.71%     -    0s
     0     0 -83894.718    0  210 -77175.000 -83894.718  8.71%     -    0s
     0     0 -83894.718    0  210 -77175.000 -83894.718  8.71%     -    0s
     0     0 -83891.284    0  239 -77175.000 -83891.284  8.70%     -    0s
H    0     0                    -78582.00000 -83889.600  6.75%     -    0s
     0     0 -83889.600    0  238 -78582.000 -83889.600  6.75%     -    0s
     0     0 -83889.600    0  231 -78582.000 -83889.600  6.75%     -    0s
     0     0 -83883.961    0  305 -78582.000 -83883.961  6.75%     -    1s
     0     0 -83883.082    0  265 -78582.000 -83883.082  6.75%     -    1s
     0     0 -83882.555    0  267 -78582.000 -83882.555  6.75%     -    1s
     0     0 -83881.445    0  268 -78582.000 -83881.445  6.74%     -    1s
     0     0 -83881.429    0  275 -78582.000 -83881.429  6.74%     -    1s
     0     0 -83869.340    0  299 -78582.000 -83869.340  6.73%     -    1s
H    0     0                    -78602.00000 -83869.340  6.70%     -    1s
     0     0 -83868.379    0  327 -78602.000 -83868.379  6.70%     -    1s
     0     0 -83867.141    0  316 -78602.000 -83867.141  6.70%     -    1s
     0     0 -83867.024    0  346 -78602.000 -83867.024  6.70%     -    1s
H    0     0                    -79046.00000 -83857.925  6.09%     -    1s
     0     0 -83857.925    0  347 -79046.000 -83857.925  6.09%     -    1s
H    0     0                    -79066.00000 -83857.925  6.06%     -    1s
     0     0 -83856.524    0  346 -79066.000 -83856.524  6.06%     -    1s
     0     0 -83856.015    0  376 -79066.000 -83856.015  6.06%     -    1s
     0     0 -83854.321    0  336 -79066.000 -83854.321  6.06%     -    1s
     0     0 -83853.977    0  365 -79066.000 -83853.977  6.06%     -    1s
     0     0 -83853.832    0  362 -79066.000 -83853.832  6.06%     -    1s
     0     0 -83853.792    0  374 -79066.000 -83853.792  6.06%     -    1s
     0     0 -83841.986    0  414 -79066.000 -83841.986  6.04%     -    1s
H    0     0                    -79659.00000 -83839.030  5.25%     -    2s
     0     0 -83839.030    0  411 -79659.000 -83839.030  5.25%     -    2s
     0     0 -83837.627    0  374 -79659.000 -83837.627  5.25%     -    2s
     0     0 -83836.900    0  386 -79659.000 -83836.900  5.24%     -    2s
     0     0 -83836.595    0  399 -79659.000 -83836.595  5.24%     -    2s
     0     0 -83836.583    0  388 -79659.000 -83836.583  5.24%     -    2s
H    0     0                    -79775.00000 -83818.995  5.07%     -    2s
     0     0 -83818.995    0  383 -79775.000 -83818.995  5.07%     -    2s
     0     0 -83813.900    0  427 -79775.000 -83813.900  5.06%     -    2s
     0     0 -83811.854    0  461 -79775.000 -83811.854  5.06%     -    2s
     0     0 -83811.343    0  438 -79775.000 -83811.343  5.06%     -    2s
     0     0 -83811.139    0  450 -79775.000 -83811.139  5.06%     -    2s
     0     0 -83779.491    0  378 -79775.000 -83779.491  5.02%     -    2s
