
Gurobi 9.5.0 (linux64) logging started Wed May  4 08:03:40 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed4_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x8895cf55
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [4e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 75 rows and 698 columns
Presolve time: 0.03s
Presolved: 905 rows, 6052 columns, 12104 nonzeros
Variable types: 0 continuous, 6052 integer (6052 binary)
Found heuristic solution: objective -39034.00000

Root relaxation: objective -8.109642e+04, 3128 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -81096.420    0  124 -39034.000 -81096.420   108%     -    0s
H    0     0                    -68438.00000 -81096.420  18.5%     -    0s
H    0     0                    -72373.00000 -81096.420  12.1%     -    0s
H    0     0                    -73011.00000 -81096.420  11.1%     -    0s
     0     0 -81073.582    0  232 -73011.000 -81073.582  11.0%     -    0s
     0     0 -81073.582    0  184 -73011.000 -81073.582  11.0%     -    0s
     0     0 -81073.582    0  202 -73011.000 -81073.582  11.0%     -    0s
H    0     0                    -74886.00000 -81073.582  8.26%     -    0s
     0     0 -81073.582    0  204 -74886.000 -81073.582  8.26%     -    0s
     0     0 -81073.582    0  246 -74886.000 -81073.582  8.26%     -    0s
     0     0 -81073.582    0  223 -74886.000 -81073.582  8.26%     -    0s
     0     0 -81073.407    0  209 -74886.000 -81073.407  8.26%     -    0s
     0     0 -81073.407    0  211 -74886.000 -81073.407  8.26%     -    0s
     0     0 -81063.569    0  275 -74886.000 -81063.569  8.25%     -    0s
     0     0 -81062.099    0  258 -74886.000 -81062.099  8.25%     -    0s
H    0     0                    -75299.00000 -81061.952  7.65%     -    0s
     0     0 -81061.952    0  246 -75299.000 -81061.952  7.65%     -    0s
     0     0 -81061.952    0  224 -75299.000 -81061.952  7.65%     -    0s
     0     0 -81057.204    0  293 -75299.000 -81057.204  7.65%     -    0s
     0     0 -81055.700    0  287 -75299.000 -81055.700  7.65%     -    1s
     0     0 -81055.401    0  283 -75299.000 -81055.401  7.64%     -    1s
     0     0 -81055.333    0  292 -75299.000 -81055.333  7.64%     -    1s
     0     0 -81049.621    0  307 -75299.000 -81049.621  7.64%     -    1s
     0     0 -81048.176    0  318 -75299.000 -81048.176  7.64%     -    1s
     0     0 -81046.636    0  310 -75299.000 -81046.636  7.63%     -    1s
     0     0 -81046.612    0  317 -75299.000 -81046.612  7.63%     -    1s
H    0     0                    -75517.00000 -81040.572  7.31%     -    1s
     0     0 -81040.572    0  335 -75517.000 -81040.572  7.31%     -    1s
     0     0 -81039.260    0  352 -75517.000 -81039.260  7.31%     -    1s
H    0     0                    -75761.00000 -81036.294  6.96%     -    1s
     0     0 -81036.294    0  395 -75761.000 -81036.294  6.96%     -    1s
     0     0 -81035.784    0  412 -75761.000 -81035.784  6.96%     -    1s
     0     0 -81035.619    0  414 -75761.000 -81035.619  6.96%     -    1s
     0     0 -81035.604    0  416 -75761.000 -81035.604  6.96%     -    1s
     0     0 -81013.126    0  374 -75761.000 -81013.126  6.93%     -    2s
     0     0 -81009.007    0  395 -75761.000 -81009.007  6.93%     -    2s
     0     0 -81007.928    0  414 -75761.000 -81007.928  6.93%     -    2s
     0     0 -81007.785    0  429 -75761.000 -81007.785  6.93%     -    2s
     0     0 -80989.766    0  419 -75761.000 -80989.766  6.90%     -    2s
     0     0 -80986.409    0  429 -75761.000 -80986.409  6.90%     -    2s
     0     0 -80984.272    0  445 -75761.000 -80984.272  6.89%     -    2s
     0     0 -80984.058    0  451 -75761.000 -80984.058  6.89%     -    2s
     0     0 -80969.199    0  405 -75761.000 -80969.199  6.87%     -    2s
     0     0 -80960.232    0  453 -75761.000 -80960.232  6.86%     -    2s
H    0     0                    -76033.00000 -80958.662  6.48%     -    2s
     0     0 -80958.662    0  410 -76033.000 -80958.662  6.48%     -    2s
     0     0 -80958.383    0  416 -76033.000 -80958.383  6.48%     -    2s
H    0     0                    -76146.00000 -80933.978  6.29%     -    3s
     0     0 -80933.978    0  419 -76146.000 -80933.978  6.29%     -    3s
H    0     0                    -76553.00000 -80928.444  5.72%     -    3s
     0     0 -80928.444    0  456 -76553.000 -80928.444  5.72%     -    3s
     0     0 -80924.292    0  453 -76553.000 -80924.292  5.71%     -    3s
     0     0 -80923.317    0  469 -76553.000 -80923.317  5.71%     -    3s
     0     0 -80923.055    0  463 -76553.000 -80923.055  5.71%     -    3s
     0     0 -80892.474    0  468 -76553.000 -80892.474  5.67%     -    3s
     0     0 -80883.168    0  480 -76553.000 -80883.168  5.66%     -    3s
     0     0 -80881.343    0  490 -76553.000 -80881.343  5.65%     -    4s
