
Gurobi 9.5.0 (linux64) logging started Wed May  4 10:24:32 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed6_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x47dd3b95
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 107 rows and 1067 columns
Presolve time: 0.04s
Presolved: 873 rows, 5683 columns, 11366 nonzeros
Found heuristic solution: objective -36358.00000
Variable types: 0 continuous, 5683 integer (5683 binary)
Found heuristic solution: objective -36560.00000

Root relaxation: objective -8.541045e+04, 3192 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -85410.450    0  114 -36560.000 -85410.450   134%     -    0s
H    0     0                    -75964.00000 -85410.450  12.4%     -    0s
H    0     0                    -76605.00000 -85410.450  11.5%     -    0s
H    0     0                    -77387.00000 -85410.450  10.4%     -    0s
     0     0 -85402.838    0  228 -77387.000 -85402.838  10.4%     -    0s
H    0     0                    -77940.00000 -85402.838  9.58%     -    0s
     0     0 -85401.145    0  213 -77940.000 -85401.145  9.57%     -    0s
     0     0 -85401.145    0  215 -77940.000 -85401.145  9.57%     -    0s
     0     0 -85401.145    0  217 -77940.000 -85401.145  9.57%     -    0s
     0     0 -85392.802    0  264 -77940.000 -85392.802  9.56%     -    0s
H    0     0                    -78007.00000 -85391.556  9.47%     -    0s
     0     0 -85391.556    0  272 -78007.000 -85391.556  9.47%     -    0s
     0     0 -85391.471    0  254 -78007.000 -85391.471  9.47%     -    0s
H    0     0                    -78327.00000 -85383.798  9.01%     -    0s
     0     0 -85383.798    0  255 -78327.000 -85383.798  9.01%     -    0s
H    0     0                    -78378.00000 -85382.263  8.94%     -    0s
     0     0 -85382.263    0  237 -78378.000 -85382.263  8.94%     -    0s
     0     0 -85382.235    0  237 -78378.000 -85382.235  8.94%     -    0s
H    0     0                    -78797.00000 -85382.235  8.36%     -    0s
     0     0 -85371.385    0  265 -78797.000 -85371.385  8.34%     -    0s
     0     0 -85370.028    0  248 -78797.000 -85370.028  8.34%     -    0s
     0     0 -85369.532    0  234 -78797.000 -85369.532  8.34%     -    0s
     0     0 -85369.418    0  238 -78797.000 -85369.418  8.34%     -    0s
     0     0 -85369.418    0  240 -78797.000 -85369.418  8.34%     -    0s
     0     0 -85364.379    0  301 -78797.000 -85364.379  8.33%     -    1s
     0     0 -85363.302    0  296 -78797.000 -85363.302  8.33%     -    1s
     0     0 -85363.124    0  284 -78797.000 -85363.124  8.33%     -    1s
H    0     0                    -79180.00000 -85363.085  7.81%     -    1s
     0     0 -85363.085    0  299 -79180.000 -85363.085  7.81%     -    1s
     0     0 -85357.487    0  346 -79180.000 -85357.487  7.80%     -    1s
     0     0 -85355.731    0  348 -79180.000 -85355.731  7.80%     -    1s
H    0     0                    -79372.00000 -85355.450  7.54%     -    1s
     0     0 -85355.450    0  340 -79372.000 -85355.450  7.54%     -    1s
     0     0 -85355.266    0  353 -79372.000 -85355.266  7.54%     -    1s
     0     0 -85355.230    0  366 -79372.000 -85355.230  7.54%     -    1s
     0     0 -85346.885    0  346 -79372.000 -85346.885  7.53%     -    1s
H    0     0                    -79880.00000 -85346.885  6.84%     -    1s
     0     0 -85344.678    0  347 -79880.000 -85344.678  6.84%     -    1s
     0     0 -85343.684    0  387 -79880.000 -85343.684  6.84%     -    1s
     0     0 -85343.410    0  413 -79880.000 -85343.410  6.84%     -    1s
     0     0 -85343.177    0  390 -79880.000 -85343.177  6.84%     -    1s
     0     0 -85342.930    0  410 -79880.000 -85342.930  6.84%     -    1s
     0     0 -85342.796    0  420 -79880.000 -85342.796  6.84%     -    1s
     0     0 -85329.513    0  394 -79880.000 -85329.513  6.82%     -    2s
     0     0 -85326.897    0  396 -79880.000 -85326.897  6.82%     -    2s
     0     0 -85326.200    0  393 -79880.000 -85326.200  6.82%     -    2s
     0     0 -85324.753    0  399 -79880.000 -85324.753  6.82%     -    2s
H    0     0                    -79903.00000 -85324.686  6.79%     -    2s
     0     0 -85324.686    0  399 -79903.000 -85324.686  6.79%     -    2s
H    0     0                    -80226.00000 -85311.751  6.34%     -    2s
     0     0 -85311.751    0  438 -80226.000 -85311.751  6.34%     -    2s
H    0     0                    -80288.00000 -85306.704  6.25%     -    2s
     0     0 -85306.704    0  460 -80288.000 -85306.704  6.25%     -    2s
     0     0 -85305.858    0  432 -80288.000 -85305.858  6.25%     -    2s
     0     0 -85305.668    0  442 -80288.000 -85305.668  6.25%     -    2s
H    0     0                    -80628.00000 -85286.543  5.78%     -    2s
     0     0 -85286.543    0  414 -80628.000 -85286.543  5.78%     -    2s
