
Gurobi 9.5.0 (linux64) logging started Wed May  4 11:25:04 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed7_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0xf775d68d
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [5e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 129 rows and 1269 columns
Presolve time: 0.03s
Presolved: 851 rows, 5481 columns, 10962 nonzeros
Variable types: 0 continuous, 5481 integer (5481 binary)
Found heuristic solution: objective -35844.00000

Root relaxation: objective -8.164538e+04, 3012 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -81645.377    0  119 -35844.000 -81645.377   128%     -    0s
H    0     0                    -70513.00000 -81645.377  15.8%     -    0s
H    0     0                    -73431.00000 -81645.377  11.2%     -    0s
H    0     0                    -74630.00000 -81645.377  9.40%     -    0s
     0     0 -81639.776    0  224 -74630.000 -81639.776  9.39%     -    0s
     0     0 -81639.776    0  205 -74630.000 -81639.776  9.39%     -    0s
H    0     0                    -75427.00000 -81634.357  8.23%     -    0s
     0     0 -81633.842    0  238 -75427.000 -81633.842  8.23%     -    0s
     0     0 -81633.842    0  225 -75427.000 -81633.842  8.23%     -    0s
     0     0 -81633.842    0  227 -75427.000 -81633.842  8.23%     -    0s
     0     0 -81630.774    0  272 -75427.000 -81630.774  8.22%     -    0s
     0     0 -81630.600    0  246 -75427.000 -81630.600  8.22%     -    0s
     0     0 -81630.547    0  248 -75427.000 -81630.547  8.22%     -    0s
H    0     0                    -75719.00000 -81627.431  7.80%     -    0s
     0     0 -81627.431    0  232 -75719.000 -81627.431  7.80%     -    0s
     0     0 -81626.266    0  244 -75719.000 -81626.266  7.80%     -    0s
     0     0 -81626.112    0  254 -75719.000 -81626.112  7.80%     -    0s
     0     0 -81625.960    0  244 -75719.000 -81625.960  7.80%     -    0s
     0     0 -81625.945    0  249 -75719.000 -81625.945  7.80%     -    0s
H    0     0                    -76082.00000 -81624.164  7.28%     -    0s
     0     0 -81624.164    0  263 -76082.000 -81624.164  7.28%     -    0s
H    0     0                    -76331.00000 -81623.201  6.93%     -    0s
     0     0 -81623.201    0  235 -76331.000 -81623.201  6.93%     -    0s
     0     0 -81622.706    0  269 -76331.000 -81622.706  6.93%     -    0s
     0     0 -81622.623    0  230 -76331.000 -81622.623  6.93%     -    0s
     0     0 -81620.230    0  315 -76331.000 -81620.230  6.93%     -    0s
     0     0 -81619.511    0  270 -76331.000 -81619.511  6.93%     -    0s
     0     0 -81619.450    0  249 -76331.000 -81619.450  6.93%     -    1s
     0     0 -81615.866    0  306 -76331.000 -81615.866  6.92%     -    1s
     0     0 -81614.494    0  325 -76331.000 -81614.494  6.92%     -    1s
     0     0 -81611.308    0  316 -76331.000 -81611.308  6.92%     -    1s
     0     0 -81609.616    0  315 -76331.000 -81609.616  6.92%     -    1s
     0     0 -81609.517    0  329 -76331.000 -81609.517  6.92%     -    1s
     0     0 -81592.978    0  273 -76331.000 -81592.978  6.89%     -    1s
H    0     0                    -76406.00000 -81587.812  6.78%     -    1s
     0     0 -81587.812    0  321 -76406.000 -81587.812  6.78%     -    1s
     0     0 -81585.985    0  328 -76406.000 -81585.985  6.78%     -    1s
     0     0 -81585.522    0  304 -76406.000 -81585.522  6.78%     -    1s
     0     0 -81585.401    0  328 -76406.000 -81585.401  6.78%     -    1s
H    0     0                    -76463.00000 -81571.934  6.68%     -    1s
     0     0 -81571.934    0  375 -76463.000 -81571.934  6.68%     -    1s
     0     0 -81571.405    0  371 -76463.000 -81571.405  6.68%     -    1s
     0     0 -81571.166    0  381 -76463.000 -81571.166  6.68%     -    1s
     0     0 -81570.976    0  401 -76463.000 -81570.976  6.68%     -    1s
     0     0 -81570.549    0  402 -76463.000 -81570.549  6.68%     -    1s
     0     0 -81570.397    0  395 -76463.000 -81570.397  6.68%     -    1s
     0     0 -81569.896    0  388 -76463.000 -81569.896  6.68%     -    1s
     0     0 -81569.879    0  390 -76463.000 -81569.879  6.68%     -    2s
     0     0 -81553.464    0  386 -76463.000 -81553.464  6.66%     -    2s
     0     0 -81552.629    0  417 -76463.000 -81552.629  6.66%     -    2s
H    0     0                    -76552.00000 -81551.825  6.53%     -    2s
     0     0 -81551.825    0  450 -76552.000 -81551.825  6.53%     -    2s
     0     0 -81550.714    0  439 -76552.000 -81550.714  6.53%     -    2s
     0     0 -81548.536    0  439 -76552.000 -81548.536  6.53%     -    2s
     0     0 -81548.436    0  449 -76552.000 -81548.436  6.53%     -    2s
     0     0 -81524.747    0  482 -76552.000 -81524.747  6.50%     -    2s
