
Gurobi 9.5.0 (linux64) logging started Wed May  4 12:20:19 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed8_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0xac81c63a
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [4e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 69 rows and 627 columns
Presolve time: 0.03s
Presolved: 911 rows, 6123 columns, 12246 nonzeros
Variable types: 0 continuous, 6123 integer (6123 binary)
Found heuristic solution: objective -33393.00000

Root relaxation: objective -8.135642e+04, 3419 iterations, 0.04 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -81356.423    0  117 -33393.000 -81356.423   144%     -    0s
H    0     0                    -70822.00000 -81356.423  14.9%     -    0s
H    0     0                    -71395.00000 -81356.423  14.0%     -    0s
H    0     0                    -74023.00000 -81356.423  9.91%     -    0s
     0     0 -81347.513    0  206 -74023.000 -81347.513  9.89%     -    0s
H    0     0                    -74697.00000 -81347.513  8.90%     -    0s
     0     0 -81347.455    0  198 -74697.000 -81347.455  8.90%     -    0s
     0     0 -81344.090    0  189 -74697.000 -81344.090  8.90%     -    0s
     0     0 -81344.090    0  190 -74697.000 -81344.090  8.90%     -    0s
     0     0 -81336.626    0  250 -74697.000 -81336.626  8.89%     -    0s
     0     0 -81334.218    0  211 -74697.000 -81334.218  8.89%     -    0s
     0     0 -81334.011    0  205 -74697.000 -81334.011  8.89%     -    0s
     0     0 -81334.011    0  201 -74697.000 -81334.011  8.89%     -    0s
H    0     0                    -74978.00000 -81323.999  8.46%     -    0s
     0     0 -81323.999    0  234 -74978.000 -81323.999  8.46%     -    0s
H    0     0                    -75449.00000 -81323.999  7.79%     -    0s
H    0     0                    -76523.00000 -81322.669  6.27%     -    0s
     0     0 -81322.669    0  222 -76523.000 -81322.669  6.27%     -    0s
     0     0 -81322.298    0  234 -76523.000 -81322.298  6.27%     -    0s
     0     0 -81322.298    0  216 -76523.000 -81322.298  6.27%     -    0s
     0     0 -81313.612    0  267 -76523.000 -81313.612  6.26%     -    0s
     0     0 -81313.154    0  256 -76523.000 -81313.154  6.26%     -    1s
     0     0 -81313.134    0  211 -76523.000 -81313.134  6.26%     -    1s
H    0     0                    -76990.00000 -81301.314  5.60%     -    1s
     0     0 -81301.314    0  273 -76990.000 -81301.314  5.60%     -    1s
     0     0 -81298.519    0  264 -76990.000 -81298.519  5.60%     -    1s
     0     0 -81296.463    0  248 -76990.000 -81296.463  5.59%     -    1s
     0     0 -81296.462    0  247 -76990.000 -81296.462  5.59%     -    1s
H    0     0                    -77234.00000 -81288.703  5.25%     -    1s
     0     0 -81288.703    0  253 -77234.000 -81288.703  5.25%     -    1s
     0     0 -81287.170    0  281 -77234.000 -81287.170  5.25%     -    1s
     0     0 -81287.122    0  245 -77234.000 -81287.122  5.25%     -    1s
     0     0 -81271.711    0  273 -77234.000 -81271.711  5.23%     -    1s
     0     0 -81268.321    0  284 -77234.000 -81268.321  5.22%     -    1s
     0     0 -81267.848    0  318 -77234.000 -81267.848  5.22%     -    1s
     0     0 -81266.840    0  289 -77234.000 -81266.840  5.22%     -    1s
     0     0 -81266.015    0  315 -77234.000 -81266.015  5.22%     -    1s
     0     0 -81265.969    0  338 -77234.000 -81265.969  5.22%     -    2s
     0     0 -81255.946    0  300 -77234.000 -81255.946  5.21%     -    2s
     0     0 -81253.931    0  325 -77234.000 -81253.931  5.20%     -    2s
     0     0 -81253.421    0  336 -77234.000 -81253.421  5.20%     -    2s
     0     0 -81253.077    0  359 -77234.000 -81253.077  5.20%     -    2s
     0     0 -81253.053    0  360 -77234.000 -81253.053  5.20%     -    2s
     0     0 -81240.805    0  395 -77234.000 -81240.805  5.19%     -    2s
     0     0 -81238.258    0  382 -77234.000 -81238.258  5.18%     -    2s
     0     0 -81238.015    0  380 -77234.000 -81238.015  5.18%     -    2s
     0     0 -81237.910    0  383 -77234.000 -81237.910  5.18%     -    2s
     0     0 -81224.567    0  414 -77234.000 -81224.567  5.17%     -    2s
     0     0 -81220.708    0  413 -77234.000 -81220.708  5.16%     -    2s
     0     0 -81219.562    0  431 -77234.000 -81219.562  5.16%     -    3s
     0     0 -81219.462    0  419 -77234.000 -81219.462  5.16%     -    3s
     0     0 -81202.308    0  421 -77234.000 -81202.308  5.14%     -    3s
     0     0 -81201.090    0  426 -77234.000 -81201.090  5.14%     -    3s
     0     0 -81200.797    0  466 -77234.000 -81200.797  5.14%     -    3s
     0     0 -81188.180    0  401 -77234.000 -81188.180  5.12%     -    3s
     0     0 -81187.001    0  430 -77234.000 -81187.001  5.12%     -    3s
