
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 14:00:11 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed10_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2482 rows, 9750 columns and 37460 nonzeros
Model fingerprint: 0x8b5a1939
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 120 rows and 1104 columns
Presolve time: 0.09s
Presolved: 2362 rows, 8646 columns, 33387 nonzeros
Found heuristic solution: objective -10319.00000
Variable types: 0 continuous, 8646 integer (8646 binary)

Root relaxation: objective -1.250146e+05, 16951 iterations, 1.17 seconds (1.11 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -125014.56    0  221 -10319.000 -125014.56  1111%     -    1s
H    0     0                    -117482.0000 -125014.56  6.41%     -    1s
H    0     0                    -117948.0000 -125014.56  5.99%     -    1s
H    0     0                    -118001.0000 -125014.56  5.94%     -    2s
H    0     0                    -121625.0000 -125014.56  2.79%     -    2s
     0     0 -125014.56    0  404 -121625.00 -125014.56  2.79%     -    2s
H    0     0                    -121724.0000 -125014.56  2.70%     -    2s
     0     0 -125014.56    0  354 -121724.00 -125014.56  2.70%     -    3s
     0     0 -125014.56    0  224 -121724.00 -125014.56  2.70%     -    3s
     0     0 -125014.56    0  249 -121724.00 -125014.56  2.70%     -    3s
     0     0 -125014.56    0  247 -121724.00 -125014.56  2.70%     -    4s
     0     0 -125014.56    0  112 -121724.00 -125014.56  2.70%     -    5s
H    0     0                    -121862.0000 -125014.56  2.59%     -    6s
H    0     2                    -121909.0000 -125014.56  2.55%     -    6s
     0     2 -125014.56    0  107 -121909.00 -125014.56  2.55%     -    6s
     7    12 -125014.56    3  278 -121909.00 -125014.56  2.55%   880   10s
H   27    32                    -122030.0000 -125014.56  2.45%   613   13s
H   27    32                    -122089.0000 -125014.56  2.40%   613   13s
    37    45 -125014.56   10  175 -122089.00 -125014.56  2.40%   714   15s
H   59    64                    -122223.0000 -125014.56  2.28%   633   18s
H   61    64                    -122693.0000 -125014.56  1.89%   626   18s
    77    90 -124772.87   15  204 -122693.00 -125014.56  1.89%   600   20s
H   89    94                    -123019.0000 -125014.56  1.62%   564   21s
H  121   130                    -124017.0000 -125014.56  0.80%   500   24s
H  159   174                    -124158.0000 -125014.56  0.69%   469   25s
   228   307 -125014.55   42  122 -124158.00 -125014.56  0.69%   450   30s
H  251   306                    -124358.0000 -125014.56  0.53%   413   30s
   426   498 -124977.66  123   89 -124358.00 -125014.56  0.53%   331   36s
H  492   497                    -124371.0000 -125014.56  0.52%   306   36s
   719   998 -124987.32  101  149 -124371.00 -125014.56  0.52%   275   42s
  1096  1175 -124897.86   89  116 -124371.00 -125014.56  0.52%   238   45s
  1318  1177 -124940.60   51  370 -124371.00 -125014.56  0.52%   226   50s
H 1322  1120                    -124380.0000 -125014.56  0.51%   225   53s
  1326  1123 -124775.82   72  305 -124380.00 -125014.56  0.51%   225   55s
  1329  1125 -124813.21    9  276 -124380.00 -125014.56  0.51%   224   62s
  1330  1128 -125014.56   13  303 -124380.00 -125014.56  0.51%   263   66s
  1332  1131 -125014.56   14  320 -124380.00 -125014.56  0.51%   263   71s
  1344  1137 -125014.56   16  225 -124380.00 -125014.56  0.51%   265   75s
H 1361  1089                    -124418.0000 -125014.56  0.48%   272   79s
  1368  1098 -124944.92   19  169 -124418.00 -125014.56  0.48%   274   80s
  1442  1172 -125014.56   28  129 -124418.00 -125014.56  0.48%   283   85s
H 1478  1114                    -124436.0000 -125014.56  0.46%   286   85s
H 1485  1061                    -124463.0000 -125014.56  0.44%   287   85s
H 1520  1033                    -124464.0000 -125014.56  0.44%   292   89s
  1532  1065 -125014.56   35  185 -124464.00 -125014.56  0.44%   293   90s
  1576  1058 -125014.56   41  142 -124464.00 -125014.56  0.44%   299   96s
  1659  1165 -124726.80   50  222 -124464.00 -125014.56  0.44%   304  102s
  1852  1175 -124810.44   70  126 -124464.00 -125014.56  0.44%   317  110s
H 1853  1047                    -124597.0000 -125014.56  0.34%   317  110s
  2107  1212 -125014.54   97  198 -124597.00 -125014.56  0.34%   323  116s
  2420  1399 -124917.47  125  136 -124597.00 -125014.56  0.34%   319  120s
  2875  1380 -124805.34  181  125 -124597.00 -125014.56  0.34%   306  128s
  2899  1495     cutoff  181      -124597.00 -125014.56  0.34%   305  135s
  3309  1740 -124837.14   51  107 -124597.00 -125014.56  0.34%   297  140s
  3721  2080 -124632.66   41  262 -124597.00 -125014.56  0.34%   291  148s
  4296  2248 -124815.44   53  202 -124597.00 -125014.56  0.34%   277  152s
