
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 23:49:13 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed1_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2509 rows, 9750 columns and 37695 nonzeros
Model fingerprint: 0xbb9c7ec5
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 82 rows and 1046 columns
Presolve time: 0.10s
Presolved: 2427 rows, 8704 columns, 33536 nonzeros
Found heuristic solution: objective -9698.000000
Variable types: 0 continuous, 8704 integer (8704 binary)

Root relaxation: objective -1.204679e+05, 18762 iterations, 1.40 seconds (1.32 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -120467.89    0  497 -9698.0000 -120467.89  1142%     -    1s
H    0     0                    -90446.00000 -120467.89  33.2%     -    1s
H    0     0                    -91865.00000 -120467.89  31.1%     -    1s
H    0     0                    -103047.0000 -120467.89  16.9%     -    1s
H    0     0                    -110031.0000 -120467.89  9.49%     -    2s
     0     0 -120467.89    0  572 -110031.00 -120467.89  9.49%     -    2s
H    0     0                    -110139.0000 -120467.89  9.38%     -    2s
     0     0 -120467.89    0  515 -110139.00 -120467.89  9.38%     -    2s
H    0     0                    -113476.0000 -120467.89  6.16%     -    3s
H    0     0                    -115103.0000 -120467.89  4.66%     -    3s
     0     0 -120467.89    0  516 -115103.00 -120467.89  4.66%     -    3s
H    0     0                    -115273.0000 -120467.89  4.51%     -    3s
H    0     0                    -115769.0000 -120467.89  4.06%     -    3s
     0     0 -120467.89    0  464 -115769.00 -120467.89  4.06%     -    4s
     0     0 -120467.89    0  446 -115769.00 -120467.89  4.06%     -    4s
H    0     0                    -115917.0000 -120467.89  3.93%     -    4s
     0     0 -120467.89    0  483 -115917.00 -120467.89  3.93%     -    5s
     0     0 -120467.89    0  528 -115917.00 -120467.89  3.93%     -    5s
     0     0 -120467.89    0  524 -115917.00 -120467.89  3.93%     -    7s
     0     2 -120467.89    0  524 -115917.00 -120467.89  3.93%     -    8s
     3     8 -120467.89    2  523 -115917.00 -120467.89  3.93%   693   12s
     7    12 -120467.89    3  475 -115917.00 -120467.89  3.93%   863   15s
H   27    32                    -116099.0000 -120467.89  3.76%   690   20s
H   28    32                    -116164.0000 -120467.89  3.71%   725   20s
H   29    32                    -117660.0006 -120467.89  2.39%   709   20s
H   63    80                    -117766.0000 -120467.89  2.29%   580   24s
H   63    80                    -117887.0000 -120467.89  2.19%   580   24s
H   74    80                    -118045.0000 -120467.89  2.05%   568   24s
H   74    80                    -118194.0000 -120467.89  1.92%   568   24s
    79   111 -120467.89   16  407 -118194.00 -120467.89  1.92%   589   25s
H  110   129                    -118374.0000 -120467.89  1.77%   554   27s
H  115   129                    -118538.0000 -120467.89  1.63%   556   27s
H  124   129                    -118582.0000 -120467.89  1.59%   553   27s
   183   264 -120464.89   35  444 -118582.00 -120467.89  1.59%   559   32s
H  206   264                    -118737.0000 -120467.89  1.46%   571   32s
H  226   264                    -118856.0000 -120467.89  1.36%   527   32s
   263   358 -120456.18   42  477 -118856.00 -120467.89  1.36%   518   35s
H  428   493                    -118877.0002 -120467.89  1.34%   500   38s
H  496   491                    -118991.0000 -120467.89  1.24%   450   38s
H  507   489                    -119019.0000 -120467.89  1.22%   447   38s
   513   598 -120436.75   91  336 -119019.00 -120467.89  1.22%   448   40s
H  568   592                    -119150.0000 -120467.89  1.11%   431   40s
H  605   590                    -119284.0000 -120467.89  0.99%   414   40s
   788   857 -120404.90  141  302 -119284.00 -120467.89  0.99%   365   48s
   932   884 -120265.94  188  257 -119284.00 -120467.89  0.99%   338   56s
H  933   875                    -119450.0000 -120467.89  0.85%   338   56s
H  979   991                    -119456.0000 -120467.89  0.85%   327   59s
  1110  1095 -119669.49   12  379 -119456.00 -120467.89  0.85%   311   63s
  1227  1242 -119669.49   26  235 -119456.00 -120467.89  0.85%   299   65s
  1619  1405 -119667.01  208  524 -119456.00 -120467.89  0.85%   295   71s
  1622  1407 -119985.87  204  552 -119456.00 -120467.89  0.85%   294   75s
  1628  1411 -120190.53  152  374 -119456.00 -120467.89  0.85%   293   80s
  1631  1416 -120467.89   11  307 -119456.00 -120467.89  0.85%   321   89s
  1633  1419 -120467.89   12  211 -119456.00 -120467.89  0.85%   322   96s
  1641  1425 -120345.07   13  263 -119456.00 -120467.89  0.85%   322  100s
  1659  1438 -120436.76   15  331 -119456.00 -120467.89  0.85%   324  106s
  1680  1457 -120467.89   18  288 -119456.00 -120467.89  0.85%   328  110s
H 1691  1385                    -119536.0000 -120467.89  0.78%   329  111s
