
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 00:30:48 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed1_DWcutsCT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 18387 rows, 9750 columns and 230260 nonzeros
Model fingerprint: 0x3c9f428b
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 3e+04]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 3331 rows and 1046 columns
Presolve time: 0.73s
Presolved: 15056 rows, 8704 columns, 166414 nonzeros
Found heuristic solution: objective -9698.000000
Variable types: 0 continuous, 8704 integer (8704 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   24808   -1.2125788e+05   5.658520e+04   0.000000e+00      5s
   31260   -1.2046789e+05   0.000000e+00   0.000000e+00      8s

Root relaxation: objective -1.204679e+05, 31260 iterations, 7.33 seconds (9.55 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -120467.89    0  395 -9698.0000 -120467.89  1142%     -    8s
H    0     0                    -112495.0000 -120467.89  7.09%     -    8s
H    0     0                    -113412.0044 -120467.89  6.22%     -    8s
H    0     0                    -115923.0000 -120467.89  3.92%     -    8s
H    0     0                    -117177.0000 -120467.89  2.81%     -    9s
     0     0 -120440.67    0  485 -117177.00 -120440.67  2.79%     -    9s
H    0     0                    -119065.0044 -120440.67  1.16%     -   10s
     0     0 -120421.00    0  565 -119065.00 -120421.00  1.14%     -   11s
H    0     0                    -119515.0044 -120421.00  0.76%     -   12s
     0     0 -120420.03    0  571 -119515.00 -120420.03  0.76%     -   12s
     0     0 -120413.41    0  497 -119515.00 -120413.41  0.75%     -   13s
     0     0 -120407.86    0  509 -119515.00 -120407.86  0.75%     -   13s
     0     0 -120407.36    0  510 -119515.00 -120407.36  0.75%     -   13s
     0     0 -120407.30    0  512 -119515.00 -120407.30  0.75%     -   13s
     0     0 -120407.30    0  513 -119515.00 -120407.30  0.75%     -   13s
     0     0 -120403.63    0  504 -119515.00 -120403.63  0.74%     -   14s
     0     0 -120402.48    0  514 -119515.00 -120402.48  0.74%     -   14s
     0     0 -120402.39    0  524 -119515.00 -120402.39  0.74%     -   14s
     0     0 -120402.37    0  535 -119515.00 -120402.37  0.74%     -   14s
     0     0 -120402.37    0  541 -119515.00 -120402.37  0.74%     -   14s
     0     0 -120401.01    0  542 -119515.00 -120401.01  0.74%     -   15s
     0     0 -120400.87    0  544 -119515.00 -120400.87  0.74%     -   15s
     0     0 -120400.87    0  544 -119515.00 -120400.87  0.74%     -   15s
     0     0 -120398.26    0  563 -119515.00 -120398.26  0.74%     -   15s
     0     0 -120397.96    0  559 -119515.00 -120397.96  0.74%     -   15s
     0     0 -120397.58    0  568 -119515.00 -120397.58  0.74%     -   15s
     0     0 -120397.58    0  569 -119515.00 -120397.58  0.74%     -   15s
     0     0 -120396.13    0  565 -119515.00 -120396.13  0.74%     -   15s
     0     0 -120396.00    0  549 -119515.00 -120396.00  0.74%     -   15s
     0     0 -120394.93    0  511 -119515.00 -120394.93  0.74%     -   16s
     0     0 -120394.00    0  565 -119515.00 -120394.00  0.74%     -   16s
     0     0 -120393.92    0  562 -119515.00 -120393.92  0.74%     -   16s
     0     0 -120393.92    0  562 -119515.00 -120393.92  0.74%     -   16s
     0     0 -120393.60    0  519 -119515.00 -120393.60  0.74%     -   16s
     0     0 -120393.52    0  520 -119515.00 -120393.52  0.74%     -   16s
     0     0 -120393.51    0  526 -119515.00 -120393.51  0.74%     -   16s
     0     0 -120393.29    0  579 -119515.00 -120393.29  0.73%     -   17s
     0     0 -120393.29    0  580 -119515.00 -120393.29  0.73%     -   17s
     0     0 -120393.29    0  581 -119515.00 -120393.29  0.73%     -   17s
     0     0 -120393.29    0  571 -119515.00 -120393.29  0.73%     -   24s
     0     2 -120393.29    0  569 -119515.00 -120393.29  0.73%     -   25s
     3     6 -120386.58    2  558 -119515.00 -120388.09  0.73%   348   31s
    14    18 -120383.51    5  499 -119515.00 -120383.55  0.73%   296   35s
    27    31 -120378.86    9  490 -119515.00 -120383.55  0.73%   262   40s
H   29    31                    -119638.0000 -120383.55  0.62%   247   40s
    52    62 -120372.21   14  408 -119638.00 -120383.55  0.62%   324   45s
H   65    68                    -119682.0000 -120383.55  0.59%   358   48s
    68    75 -120352.54   19  483 -119682.00 -120383.55  0.59%   361   50s
    98   111 -120337.71   23  390 -119682.00 -120383.55  0.59%   420   56s
H  109   111                    -119799.0000 -120383.55  0.49%   415   56s
   158   165 -120273.75   31  384 -119799.00 -120383.55  0.49%   385   61s
   201   209 -120132.41   45  320 -119799.00 -120383.55  0.49%   393   65s
