
Gurobi 9.5.0 (linux64) logging started Sat Jun 18 21:29:37 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed1_DWcutsCTp4_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 10618 rows, 9750 columns and 137865 nonzeros
Model fingerprint: 0xdf97dc70
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 1020 rows and 1046 columns
Presolve time: 0.40s
Presolved: 9598 rows, 8704 columns, 113870 nonzeros
Found heuristic solution: objective -9698.000000
Variable types: 0 continuous, 8704 integer (8704 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   24778   -1.2054007e+05   1.377499e+04   0.000000e+00      5s
   28001   -1.2046795e+05   0.000000e+00   0.000000e+00      6s

Root relaxation: objective -1.204680e+05, 28001 iterations, 5.75 seconds (7.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -120467.95    0  654 -9698.0000 -120467.95  1142%     -    6s
H    0     0                    -112865.0000 -120467.95  6.74%     -    6s
H    0     0                    -115628.0000 -120467.95  4.19%     -    6s
H    0     0                    -115795.0000 -120467.95  4.04%     -    6s
H    0     0                    -117697.0000 -120467.95  2.35%     -    7s
H    0     0                    -117958.0000 -120467.95  2.13%     -    7s
     0     0 -120467.95    0  658 -117958.00 -120467.95  2.13%     -    7s
H    0     0                    -118945.0000 -120467.95  1.28%     -    9s
H    0     0                    -119052.0000 -120467.95  1.19%     -   10s
H    0     0                    -119378.0000 -120464.01  0.91%     -   10s
     0     0 -120464.01    0  658 -119378.00 -120464.01  0.91%     -   10s
     0     0 -120464.01    0  646 -119378.00 -120464.01  0.91%     -   10s
     0     0 -120464.01    0  649 -119378.00 -120464.01  0.91%     -   11s
     0     0 -120463.96    0  659 -119378.00 -120463.96  0.91%     -   11s
     0     0 -120463.96    0  657 -119378.00 -120463.96  0.91%     -   11s
     0     0 -120463.96    0  669 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120463.96    0  661 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120463.96    0  665 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120463.96    0  689 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120463.96    0  674 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120463.96    0  666 -119378.00 -120463.96  0.91%     -   12s
     0     0 -120458.93    0  708 -119378.00 -120458.93  0.91%     -   12s
     0     0 -120458.83    0  701 -119378.00 -120458.83  0.91%     -   12s
     0     0 -120458.83    0  707 -119378.00 -120458.83  0.91%     -   12s
     0     0 -120458.49    0  685 -119378.00 -120458.49  0.91%     -   13s
     0     0 -120458.49    0  678 -119378.00 -120458.49  0.91%     -   13s
     0     0 -120457.67    0  696 -119378.00 -120457.67  0.90%     -   13s
     0     0 -120457.67    0  715 -119378.00 -120457.67  0.90%     -   13s
     0     0 -120453.57    0  719 -119378.00 -120453.57  0.90%     -   13s
     0     0 -120453.57    0  721 -119378.00 -120453.57  0.90%     -   13s
     0     0 -120452.10    0  713 -119378.00 -120452.10  0.90%     -   13s
     0     0 -120452.10    0  714 -119378.00 -120452.10  0.90%     -   13s
     0     0 -120451.59    0  698 -119378.00 -120451.59  0.90%     -   14s
     0     0 -120451.46    0  672 -119378.00 -120451.46  0.90%     -   14s
     0     0 -120451.46    0  657 -119378.00 -120451.46  0.90%     -   14s
     0     0 -120451.39    0  657 -119378.00 -120451.39  0.90%     -   14s
     0     0 -120451.39    0  657 -119378.00 -120451.39  0.90%     -   14s
     0     0 -120450.98    0  683 -119378.00 -120450.98  0.90%     -   14s
     0     0 -120450.86    0  701 -119378.00 -120450.86  0.90%     -   14s
     0     0 -120450.86    0  699 -119378.00 -120450.86  0.90%     -   14s
     0     0 -120450.71    0  684 -119378.00 -120450.71  0.90%     -   14s
     0     0 -120450.71    0  674 -119378.00 -120450.71  0.90%     -   14s
     0     0 -120450.47    0  653 -119378.00 -120450.47  0.90%     -   15s
H    0     0                    -119464.0000 -120450.47  0.83%     -   15s
     0     0 -120450.47    0  654 -119464.00 -120450.47  0.83%     -   15s
     0     0 -120444.61    0  681 -119464.00 -120444.61  0.82%     -   15s
     0     0 -120444.49    0  683 -119464.00 -120444.49  0.82%     -   15s
     0     0 -120444.49    0  679 -119464.00 -120444.49  0.82%     -   15s
     0     0 -120444.48    0  705 -119464.00 -120444.48  0.82%     -   15s
     0     0 -120444.39    0  691 -119464.00 -120444.39  0.82%     -   15s
     0     0 -120444.38    0  694 -119464.00 -120444.38  0.82%     -   15s
     0     0 -120443.75    0  695 -119464.00 -120443.75  0.82%     -   15s
