
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 01:01:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed2_DWcutsCTp3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6102 rows, 9750 columns and 82720 nonzeros
Model fingerprint: 0x84ef90a4
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 292 rows and 1000 columns
Presolve time: 0.21s
Presolved: 5810 rows, 8750 columns, 74545 nonzeros
Found heuristic solution: objective -9532.000000
Variable types: 0 continuous, 8750 integer (8750 binary)
Warning: Markowitz tolerance tightened to 0.03125
Warning: Markowitz tolerance tightened to 0.0625

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   28556   -1.1714272e+05   8.007640e+02   0.000000e+00      5s
   36394   -1.1699900e+05   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -1.169990e+05, 36394 iterations, 6.91 seconds (8.69 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -116999.00    0  659 -9532.0000 -116999.00  1127%     -    7s
H    0     0                    -98002.00000 -116999.00  19.4%     -    7s
H    0     0                    -110220.0000 -116999.00  6.15%     -    7s
H    0     0                    -113700.0000 -116999.00  2.90%     -    7s
H    0     0                    -113901.0000 -116999.00  2.72%     -    8s
     0     0 -116999.00    0  649 -113901.00 -116999.00  2.72%     -    8s
H    0     0                    -114939.0000 -116999.00  1.79%     -    8s
     0     0 -116999.00    0  642 -114939.00 -116999.00  1.79%     -    8s
     0     0 -116999.00    0  697 -114939.00 -116999.00  1.79%     -    9s
H    0     0                    -114947.0000 -116999.00  1.79%     -    9s
     0     0 -116999.00    0  646 -114947.00 -116999.00  1.79%     -   10s
     0     0 -116999.00    0  680 -114947.00 -116999.00  1.79%     -   10s
H    0     0                    -115090.0000 -116999.00  1.66%     -   11s
H    0     0                    -115862.0000 -116999.00  0.98%     -   11s
     0     0 -116999.00    0  649 -115862.00 -116999.00  0.98%     -   11s
     0     0 -116999.00    0  745 -115862.00 -116999.00  0.98%     -   12s
     0     0 -116999.00    0  680 -115862.00 -116999.00  0.98%     -   12s
     0     0 -116999.00    0  705 -115862.00 -116999.00  0.98%     -   13s
     0     0 -116999.00    0  705 -115862.00 -116999.00  0.98%     -   13s
     0     2 -116999.00    0  705 -115862.00 -116999.00  0.98%     -   14s
     1     4 -116999.00    1  686 -115862.00 -116999.00  0.98%  1791   20s
     7    12 -116999.00    3  748 -115862.00 -116999.00  0.98%  1803   26s
    19    24 -116999.00    5  739 -115862.00 -116999.00  0.98%  1107   30s
H   30    34                    -116033.0000 -116999.00  0.83%   870   32s
    39    49 -116998.88   10  751 -116033.00 -116999.00  0.83%   876   36s
H   63    81                    -116098.0000 -116999.00  0.78%   660   39s
    82   121 -116997.99   16  725 -116098.00 -116999.00  0.78%   625   43s
   126   232 -116995.29   19  670 -116098.00 -116999.00  0.78%   577   51s
H  213   232                    -116174.0001 -116999.00  0.71%   436   51s
   248   513 -116989.00   65  687 -116174.00 -116999.00  0.71%   514   64s
H  324   510                    -116304.0000 -116999.00  0.60%   435   64s
H  478   510                    -116342.0000 -116999.00  0.56%   336   64s
H  541   764                    -116631.0000 -116999.00  0.32%   339   72s
   914   849 -116944.34  163  465 -116631.00 -116999.00  0.32%   280   78s
  1163  1103     cutoff  322      -116631.00 -116999.00  0.32%   245   84s
  1487  1512 -116753.76    9  626 -116631.00 -116999.00  0.32%   240   91s
  2028  1513 -116986.51   43  705 -116631.00 -116999.00  0.32%   222   98s
  2030  1514 -116664.08   78  586 -116631.00 -116999.00  0.32%   221  104s
  2031  1515 -116868.72   63  649 -116631.00 -116999.00  0.32%   221  105s
  2037  1519 -116947.08   93  601 -116631.00 -116999.00  0.32%   221  110s
  2045  1524 -116844.80  312  677 -116631.00 -116999.00  0.32%   220  115s
  2050  1529 -116998.09   16  592 -116631.00 -116999.00  0.32%   244  121s
  2055  1533 -116764.14  106  642 -116631.00 -116999.00  0.32%   244  125s
  2062  1537 -116910.99   71  674 -116631.00 -116999.00  0.32%   243  130s
  2066  1543 -116998.96   27  664 -116631.00 -116999.00  0.32%   266  156s
  2068  1546 -116998.91   28  629 -116631.00 -116998.99  0.32%   266  164s
  2072  1549 -116998.90   29  652 -116631.00 -116998.99  0.32%   267  167s
  2076  1552 -116984.38   29  619 -116631.00 -116998.99  0.32%   268  170s
  2088  1561 -116998.78   31  619 -116631.00 -116998.94  0.32%   273  176s
  2108  1569 -116923.23   32  690 -116631.00 -116998.79  0.32%   278  180s
  2135  1592 -116997.90   35  691 -116631.00 -116998.62  0.32%   287  185s
