
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 07:15:15 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed3_DWcutsCT6_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 31372 rows, 9750 columns and 378387 nonzeros
Model fingerprint: 0x7c7a9aa9
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 4e+04]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 8115 rows and 1361 columns
Presolve time: 1.26s
Presolved: 23257 rows, 8389 columns, 233973 nonzeros
Found heuristic solution: objective -12467.00000
Variable types: 0 continuous, 8389 integer (8389 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   14188   -1.2374285e+05   1.101973e+06   0.000000e+00      5s
   22476   -1.2133820e+05   2.734273e+04   0.000000e+00     10s
   26687   -1.2089175e+05   0.000000e+00   0.000000e+00     13s

Root relaxation: objective -1.208918e+05, 26687 iterations, 11.60 seconds (18.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -120891.75    0  252 -12467.000 -120891.75   870%     -   13s
H    0     0                    -119875.0000 -120891.75  0.85%     -   13s
H    0     0                    -119942.0000 -120891.75  0.79%     -   13s
H    0     0                    -120248.0000 -120891.75  0.54%     -   14s
     0     0 -120891.23    0  362 -120248.00 -120891.23  0.53%     -   14s
     0     0 -120887.39    0  383 -120248.00 -120887.39  0.53%     -   15s
H    0     0                    -120451.0000 -120887.39  0.36%     -   15s
     0     0 -120887.39    0  386 -120451.00 -120887.39  0.36%     -   15s
     0     0 -120879.31    0  456 -120451.00 -120879.31  0.36%     -   16s
H    0     0                    -120542.0000 -120879.31  0.28%     -   17s
     0     0 -120878.05    0  361 -120542.00 -120878.05  0.28%     -   17s
     0     0 -120878.05    0  361 -120542.00 -120878.05  0.28%     -   17s
     0     0 -120876.48    0  448 -120542.00 -120876.48  0.28%     -   18s
     0     0 -120875.49    0  390 -120542.00 -120875.49  0.28%     -   19s
     0     0 -120875.34    0  388 -120542.00 -120875.34  0.28%     -   19s
     0     0 -120875.34    0  385 -120542.00 -120875.34  0.28%     -   19s
     0     0 -120874.27    0  391 -120542.00 -120874.27  0.28%     -   19s
     0     0 -120873.61    0  385 -120542.00 -120873.61  0.28%     -   20s
     0     0 -120873.61    0  384 -120542.00 -120873.61  0.28%     -   20s
     0     0 -120873.31    0  421 -120542.00 -120873.31  0.27%     -   20s
     0     0 -120873.20    0  415 -120542.00 -120873.20  0.27%     -   21s
     0     0 -120873.13    0  383 -120542.00 -120873.13  0.27%     -   21s
     0     0 -120872.75    0  386 -120542.00 -120872.75  0.27%     -   22s
     0     0 -120872.75    0  381 -120542.00 -120872.75  0.27%     -   22s
     0     0 -120872.75    0  382 -120542.00 -120872.75  0.27%     -   22s
     0     0 -120872.75    0  381 -120542.00 -120872.75  0.27%     -   23s
     0     0 -120872.75    0  241 -120542.00 -120872.75  0.27%     -   37s
H    0     0                    -120553.0000 -120872.75  0.27%     -   37s
     0     0 -120872.75    0  466 -120553.00 -120872.75  0.27%     -   38s
     0     0 -120872.75    0  465 -120553.00 -120872.75  0.27%     -   39s
     0     0 -120872.75    0  388 -120553.00 -120872.75  0.27%     -   39s
     0     0 -120872.75    0  403 -120553.00 -120872.75  0.27%     -   39s
     0     0 -120872.75    0  385 -120553.00 -120872.75  0.27%     -   40s
     0     0 -120872.75    0  365 -120553.00 -120872.75  0.27%     -   40s
     0     0 -120872.75    0  373 -120553.00 -120872.75  0.27%     -   40s
     0     0 -120872.75    0  387 -120553.00 -120872.75  0.27%     -   40s
     0     0 -120872.75    0  339 -120553.00 -120872.75  0.27%     -   40s
     0     0 -120872.52    0  347 -120553.00 -120872.52  0.27%     -   40s
     0     0 -120870.66    0  357 -120553.00 -120870.66  0.26%     -   40s
     0     0 -120870.52    0  343 -120553.00 -120870.52  0.26%     -   40s
     0     0 -120870.52    0  342 -120553.00 -120870.52  0.26%     -   40s
     0     0 -120870.41    0  347 -120553.00 -120870.41  0.26%     -   41s
     0     0 -120870.41    0  347 -120553.00 -120870.41  0.26%     -   41s
     0     0 -120870.41    0  347 -120553.00 -120870.41  0.26%     -   45s
     0     0 -120870.41    0  233 -120553.00 -120870.41  0.26%     -   54s
     0     0 -120870.41    0  315 -120553.00 -120870.41  0.26%     -   55s
     0     0 -120870.41    0  329 -120553.00 -120870.41  0.26%     -   56s
     0     0 -120870.41    0  378 -120553.00 -120870.41  0.26%     -   56s
     0     0 -120870.41    0  409 -120553.00 -120870.41  0.26%     -   56s
     0     0 -120870.41    0  328 -120553.00 -120870.41  0.26%     -   56s
