
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 10:14:21 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed4_DWcutsCT3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6403 rows, 9750 columns and 86285 nonzeros
Model fingerprint: 0xfda30cae
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 323 rows and 796 columns
Presolve time: 0.26s
Presolved: 6080 rows, 8954 columns, 79081 nonzeros
Found heuristic solution: objective -7381.000000
Variable types: 0 continuous, 8954 integer (8954 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   26497   -1.2327393e+05   8.286203e+03   0.000000e+00      5s
   28966   -1.2327232e+05   0.000000e+00   0.000000e+00      6s

Root relaxation: objective -1.232723e+05, 28966 iterations, 5.70 seconds (6.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -123272.32    0  530 -7381.0000 -123272.32  1570%     -    6s
H    0     0                    -99608.00000 -123272.32  23.8%     -    6s
H    0     0                    -108115.0000 -123272.32  14.0%     -    6s
H    0     0                    -113266.0000 -123272.32  8.83%     -    6s
H    0     0                    -120848.0000 -123272.32  2.01%     -    7s
     0     0 -123272.32    0  612 -120848.00 -123272.32  2.01%     -    7s
H    0     0                    -122538.0000 -123272.32  0.60%     -    8s
     0     0 -123272.32    0  569 -122538.00 -123272.32  0.60%     -    8s
     0     0 -123272.32    0  588 -122538.00 -123272.32  0.60%     -    9s
     0     0 -123272.32    0  509 -122538.00 -123272.32  0.60%     -    9s
     0     0 -123272.32    0  551 -122538.00 -123272.32  0.60%     -   10s
     0     0 -123272.32    0  546 -122538.00 -123272.32  0.60%     -   10s
     0     0 -123272.32    0  523 -122538.00 -123272.32  0.60%     -   10s
     0     0 -123272.32    0  511 -122538.00 -123272.32  0.60%     -   10s
     0     0 -123272.32    0  470 -122538.00 -123272.32  0.60%     -   11s
     0     0 -123272.32    0  563 -122538.00 -123272.32  0.60%     -   11s
     0     0 -123272.32    0  521 -122538.00 -123272.32  0.60%     -   11s
     0     0 -123272.32    0  505 -122538.00 -123272.32  0.60%     -   16s
     0     2 -123272.32    0  505 -122538.00 -123272.32  0.60%     -   18s
     1     4 -123272.32    1  564 -122538.00 -123272.32  0.60%   448   23s
     7    10 -123272.32    3  607 -122538.00 -123272.32  0.60%   519   27s
    15    18 -123269.15    5  678 -122538.00 -123272.32  0.60%   633   32s
H   28    30                    -122574.0000 -123272.32  0.57%   482   37s
    42    65 -123271.58   10  697 -122574.00 -123272.32  0.57%   408   40s
   108   137 -123269.63   22  697 -122574.00 -123272.32  0.57%   270   46s
H  140   137                    -122609.0000 -123272.32  0.54%   227   46s
   152   199 -123265.46   28  685 -122609.00 -123272.32  0.54%   218   53s
   216   309 -123254.56   49  549 -122609.00 -123272.32  0.54%   220   57s
   335   420 -123246.21   61  607 -122609.00 -123272.32  0.54%   188   62s
   456   493 -123196.98   77  569 -122609.00 -123272.32  0.54%   182   68s
   539   625 -123166.33   91  541 -122609.00 -123272.32  0.54%   190   73s
   683   787 -123104.95  120  559 -122609.00 -123272.32  0.54%   197   78s
   859   928 -123004.89  157  496 -122609.00 -123272.32  0.54%   187   83s
H  920   923                    -122722.0000 -123272.32  0.45%   185   83s
  1012  1071 -122950.43  194  453 -122722.00 -123272.30  0.45%   182   89s
  1236  1146 -123259.94   17  607 -122722.00 -123272.30  0.45%   170   95s
  1352  1272 -123226.90   30  532 -122722.00 -123272.30  0.45%   170  100s
  1497  1555 -123173.00   59  417 -122722.00 -123272.30  0.45%   170  105s
  1865  1556 -123031.56  240  505 -122722.00 -123272.30  0.45%   161  112s
  1867  1557 -122937.22  214  497 -122722.00 -123272.30  0.45%   161  118s
  1872  1561 -123067.70   76  548 -122722.00 -123272.15  0.45%   160  120s
  1884  1569 -123137.60   84  524 -122722.00 -123272.09  0.45%   159  127s
  1886  1570 -122915.61  188  524 -122722.00 -123272.09  0.45%   159  137s
  1887  1574 -123272.09   13  668 -122722.00 -123272.09  0.45%   180  158s
  1889  1577 -123272.09   14  674 -122722.00 -123272.09  0.45%   180  163s
  1897  1582 -123272.00   15  671 -122722.00 -123272.09  0.45%   181  165s
  1918  1599 -123272.09   18  710 -122722.00 -123272.09  0.45%   182  170s
  1959  1653 -123263.72   23  684 -122722.00 -123272.09  0.45%   184  176s
  2034  1717 -123270.54   33  566 -122722.00 -123272.09  0.45%   187  184s
  2097  1729 -123235.84   40  630 -122722.00 -123272.09  0.45%   192  189s
H 2144  1634                    -122762.0000 -123272.09  0.42%   194  189s
