
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 11:35:43 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed5_DWcutsCTp5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 18647 rows, 9750 columns and 237955 nonzeros
Model fingerprint: 0x345e0971
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [1e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 3277 rows and 578 columns
Presolve time: 0.70s
Presolved: 15370 rows, 9172 columns, 183509 nonzeros
Variable types: 0 continuous, 9172 integer (9172 binary)
Found heuristic solution: objective -7727.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   21068   -1.2190703e+05   8.241919e+04   0.000000e+00      5s
   31362   -1.2132790e+05   0.000000e+00   0.000000e+00     10s

Root relaxation: objective -1.213279e+05, 31362 iterations, 8.97 seconds (14.27 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -121327.90    0  737 -7727.0000 -121327.90  1470%     -    9s
H    0     0                    -97066.00000 -121327.90  25.0%     -    9s
H    0     0                    -116185.0001 -121327.90  4.43%     -   10s
H    0     0                    -116878.0001 -121327.90  3.81%     -   10s
H    0     0                    -116947.0000 -121327.90  3.75%     -   10s
H    0     0                    -117249.0000 -121327.25  3.48%     -   11s
H    0     0                    -119184.0000 -121327.25  1.80%     -   11s
     0     0 -121327.25    0  805 -119184.00 -121327.25  1.80%     -   11s
H    0     0                    -119305.0000 -121327.25  1.70%     -   15s
H    0     0                    -119509.0000 -121327.25  1.52%     -   16s
     0     0 -121327.00    0  805 -119509.00 -121327.00  1.52%     -   16s
     0     0 -121327.00    0  802 -119509.00 -121327.00  1.52%     -   16s
H    0     0                    -119895.0000 -121327.00  1.19%     -   17s
     0     0 -121327.00    0  797 -119895.00 -121327.00  1.19%     -   17s
     0     0 -121326.10    0  835 -119895.00 -121326.10  1.19%     -   18s
     0     0 -121325.94    0  811 -119895.00 -121325.94  1.19%     -   18s
     0     0 -121325.94    0  808 -119895.00 -121325.94  1.19%     -   18s
     0     0 -121325.51    0  833 -119895.00 -121325.51  1.19%     -   19s
H    0     0                    -119928.0000 -121325.51  1.17%     -   20s
     0     0 -121325.51    0  836 -119928.00 -121325.51  1.17%     -   20s
     0     0 -121325.51    0  839 -119928.00 -121325.51  1.17%     -   20s
     0     0 -121324.50    0  872 -119928.00 -121324.50  1.16%     -   21s
     0     0 -121324.46    0  817 -119928.00 -121324.46  1.16%     -   21s
     0     0 -121324.46    0  836 -119928.00 -121324.46  1.16%     -   21s
     0     0 -121323.64    0  874 -119928.00 -121323.64  1.16%     -   21s
H    0     0                    -120126.0000 -121323.64  1.00%     -   23s
     0     0 -121323.62    0  813 -120126.00 -121323.62  1.00%     -   23s
     0     0 -121323.62    0  835 -120126.00 -121323.62  1.00%     -   23s
     0     0 -121323.44    0  778 -120126.00 -121323.44  1.00%     -   24s
     0     0 -121323.44    0  772 -120126.00 -121323.44  1.00%     -   24s
     0     0 -121323.33    0  777 -120126.00 -121323.33  1.00%     -   24s
     0     0 -121323.29    0  796 -120126.00 -121323.29  1.00%     -   24s
     0     0 -121323.29    0  797 -120126.00 -121323.29  1.00%     -   24s
     0     0 -121323.15    0  799 -120126.00 -121323.15  1.00%     -   25s
     0     0 -121323.15    0  804 -120126.00 -121323.15  1.00%     -   25s
     0     0 -121323.05    0  785 -120126.00 -121323.05  1.00%     -   25s
     0     0 -121323.05    0  785 -120126.00 -121323.05  1.00%     -   34s
     0     2 -121323.05    0  785 -120126.00 -121323.05  1.00%     -   37s
     1     4 -121317.68    1  971 -120126.00 -121323.05  1.00%  1816   52s
     7    10 -121303.46    3  906 -120126.00 -121320.97  0.99%   660   56s
    11    14 -121299.14    4  905 -120126.00 -121320.26  0.99%   783   61s
    23    24 -121247.99    6  890 -120126.00 -121320.26  0.99%  1181   65s
H   27    28                    -120251.0000 -121320.26  0.89%  1130   71s
    38    41 -121237.39   10  960 -120251.00 -121320.26  0.89%   977   75s
    50    54 -121224.02   14  845 -120251.00 -121320.26  0.89%   966   80s
    57    58 -121216.13   16  828 -120251.00 -121320.26  0.89%   964   85s
    78    87 -121211.45   19  820 -120251.00 -121320.26  0.89%   878   91s
    90    91 -121202.40   21  844 -120251.00 -121320.26  0.89%   837   96s
H   92    91                    -120291.0000 -121320.26  0.86%   821   96s
   118   123 -121188.96   29  854 -120291.00 -121320.26  0.86%   776  101s
   147   162 -121185.39   36  697 -120291.00 -121320.26  0.86%   741  106s
H  164   162                    -120376.0000 -121320.26  0.78%   694  106s
   184   199 -121153.36   45  660 -120376.00 -121320.26  0.78%   672  111s
