
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 14:42:27 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed6_DWcutsCTp2_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 3850 rows, 9750 columns and 53930 nonzeros
Model fingerprint: 0x455a28e0
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [3e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 141 rows and 992 columns
Presolve time: 0.13s
Presolved: 3709 rows, 8758 columns, 48851 nonzeros
Found heuristic solution: objective -8329.000000
Variable types: 0 continuous, 8758 integer (8758 binary)
Warning: Markowitz tolerance tightened to 0.03125

Root relaxation: objective -1.222995e+05, 25864 iterations, 2.99 seconds (3.31 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -122299.54    0  655 -8329.0000 -122299.54  1368%     -    3s
H    0     0                    -93819.00000 -122299.54  30.4%     -    3s
H    0     0                    -106134.0000 -122299.54  15.2%     -    3s
H    0     0                    -106523.0000 -122299.54  14.8%     -    3s
H    0     0                    -111359.0000 -122299.54  9.82%     -    3s
H    0     0                    -114930.0000 -122299.54  6.41%     -    4s
     0     0 -122299.54    0  600 -114930.00 -122299.54  6.41%     -    4s
H    0     0                    -118346.0000 -122299.54  3.34%     -    4s
     0     0 -122299.54    0  522 -118346.00 -122299.54  3.34%     -    5s
     0     0 -122299.54    0  590 -118346.00 -122299.54  3.34%     -    5s
H    0     0                    -118775.0000 -122299.54  2.97%     -    5s
     0     0 -122299.54    0  537 -118775.00 -122299.54  2.97%     -    6s
     0     0 -122299.54    0  607 -118775.00 -122299.54  2.97%     -    6s
     0     0 -122299.54    0  607 -118775.00 -122299.54  2.97%     -   11s
H    0     0                    -119114.0000 -122299.54  2.67%     -   12s
     0     2 -122299.54    0  607 -119114.00 -122299.54  2.67%     -   12s
     1     4 -122299.54    1  563 -119114.00 -122299.54  2.67%   605   17s
     3     8 -122299.54    2  592 -119114.00 -122299.54  2.67%  1383   24s
     7    12 -122299.54    3  590 -119114.00 -122299.54  2.67%  1389   27s
    15    20 -122299.54    5  579 -119114.00 -122299.54  2.67%  1229   30s
H   28    34                    -119348.0000 -122299.54  2.47%  1024   33s
H   30    34                    -119411.0000 -122299.54  2.42%   973   33s
H   30    34                    -119431.0000 -122299.54  2.40%   973   33s
    33    38 -122298.73    9  584 -119431.00 -122299.54  2.40%  1014   35s
H   61    69                    -119576.0000 -122299.54  2.28%   858   40s
H   61    69                    -120083.0000 -122299.54  1.85%   858   40s
H   62    69                    -120125.0000 -122299.54  1.81%   861   40s
H   67    69                    -120281.0000 -122299.54  1.68%   820   40s
H   97   102                    -120446.0000 -122299.54  1.54%   751   46s
H  127   134                    -120542.0000 -122299.54  1.46%   716   53s
H  129   134                    -120722.0000 -122299.54  1.31%   707   53s
H  130   134                    -120747.0000 -122299.54  1.29%   710   53s
H  134   134                    -120843.0000 -122299.54  1.21%   713   53s
   145   161     cutoff   28      -120843.00 -122299.54  1.21%   734   55s
   229   249 -121968.28   55  393 -120843.00 -122299.54  1.21%   597   60s
H  303   282                    -121142.0000 -122299.54  0.96%   534   64s
   304   312 -121968.03   75  405 -121142.00 -122299.54  0.96%   533   65s
H  337   311                    -121187.0000 -122299.54  0.92%   510   69s
   338   356 -121967.81   86  346 -121187.00 -122299.54  0.92%   508   70s
H  383   360                    -121214.0000 -122299.54  0.90%   468   74s
   387   384 -121961.60  103  368 -121214.00 -122299.54  0.90%   469   76s
   521   503 -121946.20  122  339 -121214.00 -122299.54  0.90%   440   85s
   707   732 -121842.72  160  265 -121214.00 -122299.54  0.90%   396   91s
   991   989 -121444.59  219  325 -121214.00 -122299.54  0.90%   343   95s
H 1385  1235                    -121245.0000 -122299.54  0.87%   287  105s
H 1386  1180                    -121347.0000 -122299.54  0.78%   288  105s
H 1387  1101                    -121428.0000 -122299.54  0.72%   287  105s
  1485  1173 -122254.33    8  607 -121428.00 -122299.54  0.72%   296  114s
  1487  1174 -122186.01   58  613 -121428.00 -122299.54  0.72%   295  118s
  1489  1176 -121824.96   32  621 -121428.00 -122299.54  0.72%   295  120s
H 1489  1117                    -121476.0000 -122299.54  0.68%   295  121s
  1494  1120 -122235.86    6  634 -121476.00 -122296.26  0.68%   294  125s
H 1500  1067                    -121518.0000 -122293.62  0.64%   293  130s
  1507  1072 -121628.64  177  600 -121518.00 -122293.62  0.64%   292  135s
  1513  1077 -121939.99  137  670 -121518.00 -122293.62  0.64%   337  140s
  1520  1082 -121640.42  240  653 -121518.00 -122293.62  0.64%   335  145s
  1528  1087 -121606.57  270  621 -121518.00 -122293.62  0.64%   333  151s
