
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 18:30:51 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed7_DWcutsCTp3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6210 rows, 9750 columns and 83278 nonzeros
Model fingerprint: 0x78ed3171
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [5e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 342 rows and 1241 columns
Presolve time: 0.27s
Presolved: 5868 rows, 8509 columns, 73866 nonzeros
Found heuristic solution: objective -11889.00000
Variable types: 0 continuous, 8509 integer (8509 binary)

Root relaxation: objective -1.207609e+05, 24606 iterations, 4.17 seconds (4.98 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -120760.86    0  729 -11889.000 -120760.86   916%     -    4s
H    0     0                    -113724.0000 -120760.86  6.19%     -    4s
H    0     0                    -118643.0000 -120760.86  1.79%     -    4s
H    0     0                    -119067.0001 -120760.86  1.42%     -    5s
H    0     0                    -119267.0001 -120760.86  1.25%     -    6s
     0     0 -120760.86    0  748 -119267.00 -120760.86  1.25%     -    6s
H    0     0                    -119879.0000 -120760.86  0.74%     -    7s
     0     0 -120760.86    0  729 -119879.00 -120760.86  0.74%     -    7s
     0     0 -120760.86    0  755 -119879.00 -120760.86  0.74%     -    8s
     0     0 -120760.86    0  736 -119879.00 -120760.86  0.74%     -    8s
     0     0 -120760.86    0  732 -119879.00 -120760.86  0.74%     -    8s
     0     0 -120760.86    0  719 -119879.00 -120760.86  0.74%     -    9s
     0     0 -120760.86    0  742 -119879.00 -120760.86  0.74%     -    9s
     0     0 -120760.86    0  740 -119879.00 -120760.86  0.74%     -    9s
     0     0 -120760.75    0  760 -119879.00 -120760.75  0.74%     -    9s
     0     0 -120760.63    0  760 -119879.00 -120760.63  0.74%     -    9s
     0     0 -120760.55    0  756 -119879.00 -120760.55  0.74%     -   10s
     0     0 -120760.55    0  756 -119879.00 -120760.55  0.74%     -   16s
     0     2 -120760.55    0  756 -119879.00 -120760.55  0.74%     -   18s
     1     3 -120760.55    1  752 -119879.00 -120760.55  0.74%  65.0   24s
     3     6 -120760.55    2  734 -119879.00 -120760.55  0.74%   443   27s
     6    10 -120760.55    3  689 -119879.00 -120760.55  0.74%   603   31s
    29    33 -120760.55    9  686 -119879.00 -120760.55  0.74%   492   36s
H   30    33                    -120194.0000 -120760.55  0.47%   476   36s
H   58    60                    -120306.0000 -120760.55  0.38%   320   38s
    82    88 -120760.55   23  476 -120306.00 -120760.55  0.38%   248   41s
   133   165 -120760.55   35  487 -120306.00 -120760.55  0.38%   245   46s
   212   252 -120753.66   51  493 -120306.00 -120760.55  0.38%   202   50s
   297   291 -120749.51   62  508 -120306.00 -120760.55  0.38%   204   55s
   396   487 -120746.95   88  545 -120306.00 -120760.55  0.38%   214   62s
   530   535 -120740.94  115  509 -120306.00 -120760.55  0.38%   197   67s
   583   698 -120726.50  140  363 -120306.00 -120760.55  0.38%   196   70s
   937   892 -120556.39  220  207 -120306.00 -120760.55  0.38%   180   76s
  1231  1208 -120537.75    5  712 -120306.00 -120760.55  0.38%   180   82s
  1474  1209 -120488.35  204  756 -120306.00 -120760.55  0.38%   173   88s
  1476  1210 -120394.63  185  626 -120306.00 -120760.55  0.38%   173   92s
  1487  1218 -120616.57   57  655 -120306.00 -120760.55  0.38%   172   98s
  1489  1219 -120696.70    9  655 -120306.00 -120760.54  0.38%   171  103s
  1490  1223 -120760.54   12  683 -120306.00 -120760.54  0.38%   190  120s
  1504  1228 -120534.43   15  678 -120306.00 -120760.54  0.38%   192  125s
  1528  1245 -120760.54   18  703 -120306.00 -120760.54  0.38%   194  130s
  1554  1266 -120760.54   21  704 -120306.00 -120760.54  0.38%   201  135s
  1608  1288 -120748.42   26  537 -120306.00 -120760.54  0.38%   203  140s
H 1616  1224                    -120383.0000 -120760.54  0.31%   204  140s
  1702  1283 -120746.44   37  578 -120383.00 -120760.54  0.31%   209  147s
  1786  1325 -120735.22   47  465 -120383.00 -120760.54  0.31%   211  150s
  1989  1498 -120723.60   70  372 -120383.00 -120760.54  0.31%   214  157s
  2332  1599 -120687.32  106  217 -120383.00 -120760.54  0.31%   208  161s
  2597  1637 -120758.97   21  756 -120383.00 -120760.54  0.31%   201  167s
  2739  1660 -120730.82   53  503 -120383.00 -120760.54  0.31%   197  170s
  3044  1750 -120623.17   22  681 -120383.00 -120760.54  0.31%   194  177s
  3119  1865 -120622.74   24  676 -120383.00 -120760.54  0.31%   195  182s
  3303  2071 -120476.96   69  391 -120383.00 -120759.78  0.31%   191  185s
