
Gurobi 9.5.0 (linux64) logging started Wed May  4 16:37:05 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M40_N100_seed1_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 1140 rows, 5000 columns and 10000 nonzeros
Model fingerprint: 0xb3fc9342
Variable types: 0 continuous, 5000 integer (5000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 519 rows and 2134 columns
Presolve time: 0.03s
Presolved: 621 rows, 2866 columns, 5732 nonzeros
Variable types: 0 continuous, 2866 integer (2866 binary)
Found heuristic solution: objective -28519.00000

Root relaxation: objective -4.468144e+04, 2084 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -44681.440    0   88 -28519.000 -44681.440  56.7%     -    0s
H    0     0                    -38169.00000 -44681.440  17.1%     -    0s
H    0     0                    -39294.00000 -44681.440  13.7%     -    0s
H    0     0                    -39549.00000 -44570.814  12.7%     -    0s
     0     0 -44570.814    0  113 -39549.000 -44570.814  12.7%     -    0s
H    0     0                    -39707.00000 -44570.814  12.2%     -    0s
     0     0 -44570.520    0  115 -39707.000 -44570.520  12.2%     -    0s
H    0     0                    -40828.00000 -44570.520  9.17%     -    0s
H    0     0                    -41624.00000 -44371.526  6.60%     -    0s
H    0     0                    -42146.00000 -44371.526  5.28%     -    0s
     0     0 -44370.013    0  142 -42146.000 -44370.013  5.28%     -    0s
     0     0 -44365.349    0  125 -42146.000 -44365.349  5.27%     -    0s
     0     0 -44364.372    0  131 -42146.000 -44364.372  5.26%     -    0s
     0     0 -44364.370    0  127 -42146.000 -44364.370  5.26%     -    0s
H    0     0                    -42693.00000 -44241.500  3.63%     -    0s
     0     0 -44241.500    0  155 -42693.000 -44241.500  3.63%     -    0s
     0     0 -44232.372    0  148 -42693.000 -44232.372  3.61%     -    0s
     0     0 -44232.276    0  155 -42693.000 -44232.276  3.61%     -    0s
H    0     0                    -42774.00000 -44178.007  3.28%     -    0s
     0     0 -44178.007    0  134 -42774.000 -44178.007  3.28%     -    0s
     0     0 -44172.593    0  138 -42774.000 -44172.593  3.27%     -    0s
H    0     0                    -42998.00000 -44118.378  2.61%     -    0s
     0     0 -44118.378    0  147 -42998.000 -44118.378  2.61%     -    0s
H    0     0                    -43025.00000 -44118.378  2.54%     -    0s
     0     0 -44117.434    0  170 -43025.000 -44117.434  2.54%     -    0s
     0     0 -44117.243    0  168 -43025.000 -44117.243  2.54%     -    0s
     0     0 -44082.269    0  157 -43025.000 -44082.269  2.46%     -    0s
     0     0 -44078.103    0  151 -43025.000 -44078.103  2.45%     -    0s
     0     0 -44078.028    0  157 -43025.000 -44078.028  2.45%     -    0s
     0     0 -44052.420    0  148 -43025.000 -44052.420  2.39%     -    0s
H    0     0                    -43221.00000 -44046.833  1.91%     -    0s
     0     0 -44046.833    0  157 -43221.000 -44046.833  1.91%     -    0s
     0     0 -44045.116    0  157 -43221.000 -44045.116  1.91%     -    0s
     0     0 -44042.784    0  138 -43221.000 -44042.784  1.90%     -    0s
     0     0 -44014.044    0  174 -43221.000 -44014.044  1.83%     -    0s
     0     0 -44009.856    0  160 -43221.000 -44009.856  1.83%     -    0s
     0     0 -44009.602    0  156 -43221.000 -44009.602  1.82%     -    0s
     0     0 -43992.966    0   87 -43221.000 -43992.966  1.79%     -    0s
     0     0 -43992.947    0  107 -43221.000 -43992.947  1.79%     -    0s
     0     0 -43979.009    0  111 -43221.000 -43979.009  1.75%     -    0s
     0     0 -43978.485    0  124 -43221.000 -43978.485  1.75%     -    0s
     0     0 -43959.209    0  118 -43221.000 -43959.209  1.71%     -    0s
     0     0 -43955.506    0  153 -43221.000 -43955.506  1.70%     -    0s
     0     0 -43955.405    0  147 -43221.000 -43955.405  1.70%     -    0s
     0     0 -43941.523    0  104 -43221.000 -43941.523  1.67%     -    0s
     0     0 -43940.548    0  172 -43221.000 -43940.548  1.66%     -    0s
     0     0 -43905.603    0  142 -43221.000 -43905.603  1.58%     -    0s
     0     0 -43901.379    0  144 -43221.000 -43901.379  1.57%     -    0s
     0     0 -43901.210    0  158 -43221.000 -43901.210  1.57%     -    0s
     0     0 -43890.696    0  126 -43221.000 -43890.696  1.55%     -    0s
     0     0 -43890.318    0  137 -43221.000 -43890.318  1.55%     -    0s
     0     0 -43889.625    0  116 -43221.000 -43889.625  1.55%     -    0s
     0     0 -43889.625    0  104 -43221.000 -43889.625  1.55%     -    0s
H    0     0                    -43579.00000 -43889.625  0.71%     -    0s
H    0     0                    -43651.00000 -43889.625  0.55%     -    0s
     0     0 -43889.625    0   91 -43651.000 -43889.625  0.55%     -    0s
H    0     0                    -43674.00000 -43889.625  0.49%     -    0s
