
Gurobi 9.5.0 (linux64) logging started Fri Apr 15 12:12:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R5_M60_N150_seed1_DWcutsT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 9520 rows, 9300 columns and 278084 nonzeros
Model fingerprint: 0x11c3a024
Variable types: 0 continuous, 9300 integer (9300 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-14, 2e+02]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2832 rows and 3600 columns
Presolve time: 0.93s
Presolved: 6688 rows, 5700 columns, 152763 nonzeros
Found heuristic solution: objective -21722.00000
Variable types: 0 continuous, 5700 integer (5700 binary)

Root relaxation: objective -6.305549e+04, 9638 iterations, 1.68 seconds (2.53 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -63055.487    0  294 -21722.000 -63055.487   190%     -    2s
H    0     0                    -59699.00000 -63055.487  5.62%     -    2s
H    0     0                    -61788.00000 -63055.487  2.05%     -    3s
H    0     0                    -61843.00000 -63055.487  1.96%     -    3s
H    0     0                    -61937.00000 -63036.973  1.78%     -    5s
     0     0 -63036.973    0  299 -61937.000 -63036.973  1.78%     -    5s
H    0     0                    -62555.00000 -63036.973  0.77%     -    6s
     0     0 -63036.971    0  296 -62555.000 -63036.971  0.77%     -    6s
H    0     0                    -62676.00000 -63036.368  0.57%     -    7s
     0     0 -63036.368    0  308 -62676.000 -63036.368  0.57%     -    7s
     0     0 -63036.368    0  308 -62676.000 -63036.368  0.57%     -    7s
     0     0 -63036.368    0  276 -62676.000 -63036.368  0.57%     -    7s
     0     0 -63036.368    0  272 -62676.000 -63036.368  0.57%     -    7s
     0     0 -63036.368    0  260 -62676.000 -63036.368  0.57%     -    8s
     0     0 -63036.368    0  266 -62676.000 -63036.368  0.57%     -    8s
     0     0 -63036.368    0  264 -62676.000 -63036.368  0.57%     -    8s
     0     0 -63036.368    0  263 -62676.000 -63036.368  0.57%     -    8s
     0     0 -63036.368    0  286 -62676.000 -63036.368  0.57%     -    8s
     0     0 -63036.368    0  289 -62676.000 -63036.368  0.57%     -    9s
     0     0 -63036.368    0  307 -62676.000 -63036.368  0.57%     -    9s
     0     0 -63036.368    0  307 -62676.000 -63036.368  0.57%     -   11s
     0     2 -63036.368    0  307 -62676.000 -63036.368  0.57%     -   12s
     3     8 -63036.172    2  366 -62676.000 -63036.172  0.57%   786   17s
H   27    32                    -62783.00000 -63036.172  0.40%   589   23s
H   30    32                    -62797.00000 -63036.172  0.38%   577   23s
    37    49 -63035.436    8  370 -62797.000 -63036.172  0.38%   592   25s
    92   164 -63030.017   20  381 -62797.000 -63036.172  0.38%   516   30s
   221   322 -63014.725   36  276 -62797.000 -63036.172  0.38%   396   38s
   328   487 -63030.711   47  328 -62797.000 -63036.172  0.38%   366   42s
   496   541 -63025.045   83  316 -62797.000 -63036.172  0.38%   319   48s
H  513   541                    -62809.00000 -63036.172  0.36%   318   48s
   551   671 -63022.151   87  291 -62809.000 -63036.172  0.36%   315   53s
H  612   671                    -62832.00000 -63036.172  0.32%   318   53s
   691  1016 -63011.648  100  234 -62832.000 -63036.172  0.32%   312   57s
  1067  1364 -62937.536  158  221 -62832.000 -63036.157  0.32%   254   60s
  1529  1369 -63014.206  126  307 -62832.000 -63036.011  0.32%   210   69s
H 1530  1301                    -62840.00000 -63036.011  0.31%   210   71s
  1533  1303 -63015.387   26  282 -62840.000 -63036.011  0.31%   209   75s
  1545  1311 -63017.189   93  273 -62840.000 -63036.011  0.31%   207   80s
  1552  1315 -62927.366  168  285 -62840.000 -63035.839  0.31%   207   89s
  1553  1319 -63035.839   16  284 -62840.000 -63035.839  0.31%   219   97s
  1555  1322 -63035.839   17  301 -62840.000 -63035.839  0.31%   219  105s
  1581  1338 -63035.529   20  361 -62840.000 -63035.633  0.31%   227  111s
  1619  1381 -63034.163   24  379 -62840.000 -63035.633  0.31%   235  116s
  1688  1438 -63032.707   30  306 -62840.000 -63035.633  0.31%   243  123s
  1723  1466 -63027.925   30  364 -62840.000 -63035.633  0.31%   246  126s
  1764  1525 -63031.214   34  280 -62840.000 -63035.633  0.31%   255  130s
  1951  1662 -63022.991   53  343 -62840.000 -63035.633  0.31%   271  137s
  2039  1719 -63017.146   63  278 -62840.000 -63035.633  0.31%   278  141s
  2265  1829 -63018.029   73  290 -62840.000 -63035.633  0.31%   278  147s
  2351  1817 -63015.622   73  312 -62840.000 -63035.633  0.31%   281  153s
  2370  1916 -63017.547   74  276 -62840.000 -63035.633  0.31%   282  156s
  2654  2026 -63004.601  103  238 -62840.000 -63035.633  0.31%   297  163s
  2709  2169 -63003.907  106  220 -62840.000 -63035.633  0.31%   297  166s
