
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 08:43:28 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M10_N300_seed4_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 560 rows, 3250 columns and 6500 nonzeros
Model fingerprint: 0xb9cfaef7
Variable types: 0 continuous, 3250 integer (3250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+04]
  Objective range  [3e+01, 9e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 10 rows and 10 columns
Presolve time: 0.01s
Presolved: 550 rows, 3240 columns, 6480 nonzeros
Variable types: 0 continuous, 3240 integer (3240 binary)
Found heuristic solution: objective -42361.00000

Root relaxation: objective -7.320788e+04, 1954 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -73207.881    0   56 -42361.000 -73207.881  72.8%     -    0s
H    0     0                    -47910.00000 -73207.881  52.8%     -    0s
H    0     0                    -48870.00000 -73207.881  49.8%     -    0s
     0     0 -73017.107    0  158 -48870.000 -73017.107  49.4%     -    0s
H    0     0                    -57218.00000 -73017.107  27.6%     -    0s
     0     0 -73016.467    0  160 -57218.000 -73016.467  27.6%     -    0s
H    0     0                    -57638.00000 -72666.840  26.1%     -    0s
H    0     0                    -58201.00000 -72666.840  24.9%     -    0s
     0     0 -72666.840    0  284 -58201.000 -72666.840  24.9%     -    0s
     0     0 -72614.048    0  249 -58201.000 -72614.048  24.8%     -    0s
     0     0 -72582.450    0  236 -58201.000 -72582.450  24.7%     -    0s
     0     0 -72582.058    0  235 -58201.000 -72582.058  24.7%     -    0s
     0     0 -72157.290    0  256 -58201.000 -72157.290  24.0%     -    0s
     0     0 -72030.130    0  258 -58201.000 -72030.130  23.8%     -    0s
     0     0 -71992.221    0  256 -58201.000 -71992.221  23.7%     -    0s
     0     0 -71961.486    0  237 -58201.000 -71961.486  23.6%     -    0s
     0     0 -71944.470    0  239 -58201.000 -71944.470  23.6%     -    0s
     0     0 -71944.470    0  242 -58201.000 -71944.470  23.6%     -    0s
     0     0 -71608.776    0  295 -58201.000 -71608.776  23.0%     -    0s
H    0     0                    -58283.00000 -71608.776  22.9%     -    0s
     0     0 -71537.100    0  289 -58283.000 -71537.100  22.7%     -    0s
     0     0 -71534.492    0  275 -58283.000 -71534.492  22.7%     -    0s
     0     0 -71520.129    0  295 -58283.000 -71520.129  22.7%     -    0s
     0     0 -71512.534    0  299 -58283.000 -71512.534  22.7%     -    0s
     0     0 -71512.420    0  311 -58283.000 -71512.420  22.7%     -    0s
     0     0 -71268.244    0  278 -58283.000 -71268.244  22.3%     -    0s
     0     0 -71244.067    0  327 -58283.000 -71244.067  22.2%     -    0s
H    0     0                    -58646.00000 -71180.214  21.4%     -    0s
     0     0 -71180.214    0  330 -58646.000 -71180.214  21.4%     -    0s
     0     0 -71050.043    0  315 -58646.000 -71050.043  21.2%     -    0s
     0     0 -71033.093    0  322 -58646.000 -71033.093  21.1%     -    0s
     0     0 -70880.132    0  312 -58646.000 -70880.132  20.9%     -    0s
     0     0 -70817.523    0  369 -58646.000 -70817.523  20.8%     -    0s
     0     0 -70796.802    0  364 -58646.000 -70796.802  20.7%     -    0s
     0     0 -70793.362    0  369 -58646.000 -70793.362  20.7%     -    0s
     0     0 -70789.891    0  351 -58646.000 -70789.891  20.7%     -    0s
     0     0 -70768.231    0  361 -58646.000 -70768.231  20.7%     -    0s
     0     0 -70750.804    0  369 -58646.000 -70750.804  20.6%     -    0s
     0     0 -70745.982    0  379 -58646.000 -70745.982  20.6%     -    0s
     0     0 -70744.861    0  376 -58646.000 -70744.861  20.6%     -    0s
     0     0 -70217.987    0  415 -58646.000 -70217.987  19.7%     -    0s
     0     0 -69771.674    0  462 -58646.000 -69771.674  19.0%     -    0s
     0     0 -69533.229    0  474 -58646.000 -69533.229  18.6%     -    0s
     0     0 -69353.483    0  483 -58646.000 -69353.483  18.3%     -    0s
     0     0 -69252.524    0  457 -58646.000 -69252.524  18.1%     -    0s
     0     0 -69180.871    0  461 -58646.000 -69180.871  18.0%     -    0s
     0     0 -69161.511    0  473 -58646.000 -69161.511  17.9%     -    0s
     0     0 -69132.751    0  473 -58646.000 -69132.751  17.9%     -    0s
     0     0 -69104.113    0  481 -58646.000 -69104.113  17.8%     -    0s
     0     0 -69098.001    0  475 -58646.000 -69098.001  17.8%     -    0s
     0     0 -69097.228    0  466 -58646.000 -69097.228  17.8%     -    0s
     0     0 -67494.853    0  454 -58646.000 -67494.853  15.1%     -    1s
H    0     0                    -58671.00000 -67494.853  15.0%     -    1s
     0     0 -66892.346    0  442 -58671.000 -66892.346  14.0%     -    1s
     0     0 -66731.372    0  476 -58671.000 -66731.372  13.7%     -    1s
     0     0 -66699.661    0  488 -58671.000 -66699.661  13.7%     -    1s
