
Gurobi 9.5.0 (linux64) logging started Wed May  4 01:36:27 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N100_seed3_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 880 rows, 3750 columns and 7500 nonzeros
Model fingerprint: 0xaa6e4025
Variable types: 0 continuous, 3750 integer (3750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+03]
  Objective range  [5e+01, 9e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 238 rows and 1015 columns
Presolve time: 0.02s
Presolved: 642 rows, 2735 columns, 5470 nonzeros
Variable types: 0 continuous, 2735 integer (2735 binary)
Found heuristic solution: objective -16456.00000

Root relaxation: objective -2.933090e+04, 1912 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -29330.895    0  100 -16456.000 -29330.895  78.2%     -    0s
H    0     0                    -24709.00000 -29330.895  18.7%     -    0s
H    0     0                    -25148.00000 -29330.895  16.6%     -    0s
H    0     0                    -25550.00000 -29330.895  14.8%     -    0s
H    0     0                    -26006.00000 -29330.895  12.8%     -    0s
H    0     0                    -26787.00000 -29312.010  9.43%     -    0s
     0     0 -29211.270    0  126 -26787.000 -29211.270  9.05%     -    0s
H    0     0                    -27090.00000 -29211.270  7.83%     -    0s
H    0     0                    -27131.00000 -29113.485  7.31%     -    0s
     0     0 -29112.867    0  173 -27131.000 -29112.867  7.30%     -    0s
H    0     0                    -27426.00000 -29112.867  6.15%     -    0s
     0     0 -29101.126    0  170 -27426.000 -29101.126  6.11%     -    0s
     0     0 -29101.126    0  144 -27426.000 -29101.126  6.11%     -    0s
     0     0 -29030.456    0  168 -27426.000 -29030.456  5.85%     -    0s
H    0     0                    -27711.00000 -29030.456  4.76%     -    0s
     0     0 -29023.624    0  195 -27711.000 -29023.624  4.74%     -    0s
     0     0 -29023.484    0  197 -27711.000 -29023.484  4.74%     -    0s
     0     0 -28945.395    0  147 -27711.000 -28945.395  4.45%     -    0s
     0     0 -28944.864    0  132 -27711.000 -28944.864  4.45%     -    0s
     0     0 -28920.929    0  152 -27711.000 -28920.929  4.37%     -    0s
H    0     0                    -28001.00000 -28920.929  3.29%     -    0s
     0     0 -28920.595    0  148 -28001.000 -28920.595  3.28%     -    0s
     0     0 -28874.027    0  158 -28001.000 -28874.027  3.12%     -    0s
     0     0 -28860.742    0  169 -28001.000 -28860.742  3.07%     -    0s
     0     0 -28860.385    0  175 -28001.000 -28860.385  3.07%     -    0s
     0     0 -28827.828    0  165 -28001.000 -28827.828  2.95%     -    0s
     0     0 -28827.628    0  169 -28001.000 -28827.628  2.95%     -    0s
     0     0 -28806.536    0  149 -28001.000 -28806.536  2.88%     -    0s
     0     0 -28802.691    0  152 -28001.000 -28802.691  2.86%     -    0s
     0     0 -28801.219    0  148 -28001.000 -28801.219  2.86%     -    0s
     0     0 -28800.968    0  148 -28001.000 -28800.968  2.86%     -    0s
     0     0 -28792.239    0  165 -28001.000 -28792.239  2.83%     -    0s
H    0     0                    -28136.00009 -28792.239  2.33%     -    0s
     0     0 -28790.730    0  176 -28136.000 -28790.730  2.33%     -    0s
     0     0 -28790.730    0  178 -28136.000 -28790.730  2.33%     -    0s
     0     0 -28769.394    0  143 -28136.000 -28769.394  2.25%     -    0s
     0     0 -28767.400    0  174 -28136.000 -28767.400  2.24%     -    0s
     0     0 -28765.310    0  167 -28136.000 -28765.310  2.24%     -    0s
     0     0 -28765.310    0  169 -28136.000 -28765.310  2.24%     -    0s
     0     0 -28754.640    0  152 -28136.000 -28754.640  2.20%     -    0s
     0     0 -28754.098    0  153 -28136.000 -28754.098  2.20%     -    0s
     0     0 -28745.303    0  182 -28136.000 -28745.303  2.17%     -    0s
     0     0 -28745.303    0  172 -28136.000 -28745.303  2.17%     -    0s
H    0     0                    -28540.00000 -28745.303  0.72%     -    0s
     0     0 -28745.303    0  122 -28540.000 -28745.303  0.72%     -    0s
     0     0 -28745.303    0  178 -28540.000 -28745.303  0.72%     -    0s
H    0     0                    -28556.00000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  143 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  135 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  142 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  170 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  135 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  166 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  149 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  136 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28745.303    0  134 -28556.000 -28745.303  0.66%     -    0s
     0     0 -28739.662    0  138 -28556.000 -28739.662  0.64%     -    0s
