
Gurobi 9.5.0 (linux64) logging started Wed May  4 15:38:23 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed10_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0xdb3628d6
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [8e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 66 rows and 712 columns
Presolve time: 0.03s
Presolved: 914 rows, 6038 columns, 12076 nonzeros
Variable types: 0 continuous, 6038 integer (6038 binary)
Found heuristic solution: objective -37010.00000

Root relaxation: objective -6.105022e+04, 3199 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -61050.218    0  118 -37010.000 -61050.218  65.0%     -    0s
H    0     0                    -53166.00000 -61050.218  14.8%     -    0s
H    0     0                    -54436.00000 -61050.218  12.2%     -    0s
     0     0 -61030.030    0  214 -54436.000 -61030.030  12.1%     -    0s
H    0     0                    -54604.00000 -61030.030  11.8%     -    0s
H    0     0                    -56356.00000 -61030.022  8.29%     -    0s
     0     0 -61030.022    0  215 -56356.000 -61030.022  8.29%     -    0s
     0     0 -61022.922    0  209 -56356.000 -61022.922  8.28%     -    0s
     0     0 -61022.218    0  185 -56356.000 -61022.218  8.28%     -    0s
     0     0 -61019.528    0  174 -56356.000 -61019.528  8.28%     -    0s
     0     0 -61019.325    0  172 -56356.000 -61019.325  8.27%     -    0s
     0     0 -61019.325    0  176 -56356.000 -61019.325  8.27%     -    0s
H    0     0                    -56461.00000 -61003.218  8.04%     -    0s
     0     0 -61003.218    0  258 -56461.000 -61003.218  8.04%     -    0s
     0     0 -60999.188    0  219 -56461.000 -60999.188  8.04%     -    0s
     0     0 -60998.544    0  224 -56461.000 -60998.544  8.04%     -    0s
     0     0 -60998.371    0  221 -56461.000 -60998.371  8.04%     -    0s
     0     0 -60998.371    0  228 -56461.000 -60998.371  8.04%     -    0s
     0     0 -60986.700    0  263 -56461.000 -60986.700  8.02%     -    0s
     0     0 -60983.175    0  241 -56461.000 -60983.175  8.01%     -    0s
     0     0 -60982.620    0  233 -56461.000 -60982.620  8.01%     -    0s
     0     0 -60982.600    0  231 -56461.000 -60982.600  8.01%     -    0s
H    0     0                    -57131.00000 -60968.665  6.72%     -    0s
H    0     0                    -57484.00000 -60968.665  6.06%     -    0s
     0     0 -60968.665    0  301 -57484.000 -60968.665  6.06%     -    1s
H    0     0                    -57921.00000 -60960.736  5.25%     -    1s
     0     0 -60960.736    0  340 -57921.000 -60960.736  5.25%     -    1s
     0     0 -60959.740    0  322 -57921.000 -60959.740  5.25%     -    1s
     0     0 -60959.578    0  332 -57921.000 -60959.578  5.25%     -    1s
     0     0 -60959.257    0  342 -57921.000 -60959.257  5.25%     -    1s
     0     0 -60959.108    0  358 -57921.000 -60959.108  5.25%     -    1s
     0     0 -60959.106    0  359 -57921.000 -60959.106  5.25%     -    1s
     0     0 -60942.600    0  334 -57921.000 -60942.600  5.22%     -    1s
     0     0 -60940.240    0  379 -57921.000 -60940.240  5.21%     -    1s
     0     0 -60939.121    0  386 -57921.000 -60939.121  5.21%     -    1s
     0     0 -60938.713    0  406 -57921.000 -60938.713  5.21%     -    1s
     0     0 -60938.225    0  402 -57921.000 -60938.225  5.21%     -    1s
     0     0 -60938.140    0  430 -57921.000 -60938.140  5.21%     -    1s
     0     0 -60899.565    0  382 -57921.000 -60899.565  5.14%     -    1s
     0     0 -60893.207    0  370 -57921.000 -60893.207  5.13%     -    1s
     0     0 -60891.687    0  379 -57921.000 -60891.687  5.13%     -    1s
     0     0 -60891.486    0  371 -57921.000 -60891.486  5.13%     -    1s
H    0     0                    -58054.00000 -60867.267  4.85%     -    2s
     0     0 -60867.267    0  411 -58054.000 -60867.267  4.85%     -    2s
H    0     0                    -58130.00000 -60856.451  4.69%     -    2s
     0     0 -60856.451    0  388 -58130.000 -60856.451  4.69%     -    2s
     0     0 -60853.600    0  415 -58130.000 -60853.600  4.69%     -    2s
     0     0 -60853.012    0  429 -58130.000 -60853.012  4.68%     -    2s
     0     0 -60852.870    0  442 -58130.000 -60852.870  4.68%     -    2s
     0     0 -60828.229    0  438 -58130.000 -60828.229  4.64%     -    2s
     0     0 -60820.449    0  397 -58130.000 -60820.449  4.63%     -    2s
     0     0 -60816.986    0  414 -58130.000 -60816.986  4.62%     -    2s
     0     0 -60815.807    0  439 -58130.000 -60815.807  4.62%     -    2s
     0     0 -60815.739    0  432 -58130.000 -60815.739  4.62%     -    2s
     0     0 -60777.774    0  448 -58130.000 -60777.774  4.55%     -    3s
     0     0 -60771.155    0  466 -58130.000 -60771.155  4.54%     -    3s
