
Gurobi 9.5.0 (linux64) logging started Wed May  4 05:36:19 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed2_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x66060acf
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+03]
  Objective range  [9e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 76 rows and 714 columns
Presolve time: 0.03s
Presolved: 904 rows, 6036 columns, 12072 nonzeros
Variable types: 0 continuous, 6036 integer (6036 binary)
Found heuristic solution: objective -40626.00000

Root relaxation: objective -6.546305e+04, 3262 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -65463.048    0  127 -40626.000 -65463.048  61.1%     -    0s
H    0     0                    -56390.00000 -65463.048  16.1%     -    0s
H    0     0                    -56768.00000 -65463.048  15.3%     -    0s
H    0     0                    -58474.00000 -65463.048  12.0%     -    0s
     0     0 -65457.723    0  180 -58474.000 -65457.723  11.9%     -    0s
H    0     0                    -60073.00000 -65457.723  8.96%     -    0s
     0     0 -65457.723    0  172 -60073.000 -65457.723  8.96%     -    0s
     0     0 -65455.370    0  209 -60073.000 -65455.370  8.96%     -    0s
     0     0 -65454.662    0  220 -60073.000 -65454.662  8.96%     -    0s
     0     0 -65454.662    0  197 -60073.000 -65454.662  8.96%     -    0s
     0     0 -65450.911    0  257 -60073.000 -65450.911  8.95%     -    0s
     0     0 -65448.842    0  244 -60073.000 -65448.842  8.95%     -    0s
     0     0 -65448.775    0  238 -60073.000 -65448.775  8.95%     -    0s
     0     0 -65448.774    0  239 -60073.000 -65448.774  8.95%     -    0s
     0     0 -65440.856    0  285 -60073.000 -65440.856  8.94%     -    0s
     0     0 -65440.285    0  242 -60073.000 -65440.285  8.93%     -    0s
     0     0 -65436.052    0  232 -60073.000 -65436.052  8.93%     -    0s
H    0     0                    -60205.00000 -65434.687  8.69%     -    0s
     0     0 -65434.687    0  264 -60205.000 -65434.687  8.69%     -    0s
     0     0 -65424.286    0  286 -60205.000 -65424.286  8.67%     -    1s
     0     0 -65424.286    0  297 -60205.000 -65424.286  8.67%     -    1s
     0     0 -65424.286    0  306 -60205.000 -65424.286  8.67%     -    1s
     0     0 -65424.286    0  290 -60205.000 -65424.286  8.67%     -    1s
     0     0 -65403.813    0  349 -60205.000 -65403.813  8.64%     -    1s
H    0     0                    -60898.00000 -65397.922  7.39%     -    1s
     0     0 -65397.922    0  305 -60898.000 -65397.922  7.39%     -    1s
     0     0 -65397.320    0  292 -60898.000 -65397.320  7.39%     -    1s
     0     0 -65396.796    0  297 -60898.000 -65396.796  7.39%     -    1s
     0     0 -65396.597    0  305 -60898.000 -65396.597  7.39%     -    1s
     0     0 -65396.518    0  329 -60898.000 -65396.518  7.39%     -    1s
     0     0 -65352.126    0  351 -60898.000 -65352.126  7.31%     -    1s
     0     0 -65345.371    0  327 -60898.000 -65345.371  7.30%     -    1s
     0     0 -65341.420    0  376 -60898.000 -65341.420  7.30%     -    1s
     0     0 -65341.007    0  350 -60898.000 -65341.007  7.30%     -    1s
     0     0 -65340.878    0  347 -60898.000 -65340.878  7.30%     -    1s
     0     0 -65301.799    0  346 -60898.000 -65301.799  7.23%     -    2s
     0     0 -65279.892    0  357 -60898.000 -65279.892  7.20%     -    2s
     0     0 -65275.907    0  377 -60898.000 -65275.907  7.19%     -    2s
     0     0 -65275.530    0  377 -60898.000 -65275.530  7.19%     -    2s
     0     0 -65275.504    0  389 -60898.000 -65275.504  7.19%     -    2s
H    0     0                    -61094.00000 -65237.714  6.78%     -    2s
     0     0 -65237.714    0  355 -61094.000 -65237.714  6.78%     -    2s
H    0     0                    -61131.00000 -65237.714  6.72%     -    2s
     0     0 -65226.986    0  377 -61131.000 -65226.986  6.70%     -    2s
     0     0 -65224.941    0  406 -61131.000 -65224.941  6.70%     -    2s
     0     0 -65223.899    0  386 -61131.000 -65223.899  6.70%     -    2s
     0     0 -65223.883    0  389 -61131.000 -65223.883  6.70%     -    2s
     0     0 -65173.729    0  430 -61131.000 -65173.729  6.61%     -    2s
H    0     0                    -61193.00000 -65173.729  6.51%     -    3s
     0     0 -65164.154    0  419 -61193.000 -65164.154  6.49%     -    3s
     0     0 -65161.564    0  426 -61193.000 -65161.564  6.49%     -    3s
     0     0 -65160.877    0  436 -61193.000 -65160.877  6.48%     -    3s
     0     0 -65160.849    0  442 -61193.000 -65160.849  6.48%     -    3s
     0     0 -65109.465    0  492 -61193.000 -65109.465  6.40%     -    3s
     0     0 -65092.529    0  465 -61193.000 -65092.529  6.37%     -    3s
     0     0 -65087.389    0  498 -61193.000 -65087.389  6.36%     -    3s
