
Gurobi 9.5.0 (linux64) logging started Wed May  4 09:27:16 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed5_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x628e3e0f
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [4e+01, 9e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 107 rows and 1052 columns
Presolve time: 0.03s
Presolved: 873 rows, 5698 columns, 11396 nonzeros
Variable types: 0 continuous, 5698 integer (5698 binary)
Found heuristic solution: objective -34923.00000

Root relaxation: objective -6.122660e+04, 2989 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -61226.601    0  114 -34923.000 -61226.601  75.3%     -    0s
H    0     0                    -54682.00000 -61226.601  12.0%     -    0s
H    0     0                    -54995.00000 -61226.601  11.3%     -    0s
H    0     0                    -56001.00000 -61226.601  9.33%     -    0s
     0     0 -61217.464    0  200 -56001.000 -61217.464  9.31%     -    0s
H    0     0                    -56047.00000 -61217.464  9.23%     -    0s
     0     0 -61216.865    0  184 -56047.000 -61216.865  9.22%     -    0s
     0     0 -61216.865    0  184 -56047.000 -61216.865  9.22%     -    0s
H    0     0                    -57439.00000 -61212.873  6.57%     -    0s
     0     0 -61212.390    0  218 -57439.000 -61212.390  6.57%     -    0s
     0     0 -61211.406    0  204 -57439.000 -61211.406  6.57%     -    0s
     0     0 -61211.271    0  204 -57439.000 -61211.271  6.57%     -    0s
H    0     0                    -57534.00000 -61211.271  6.39%     -    0s
     0     0 -61211.271    0  204 -57534.000 -61211.271  6.39%     -    0s
     0     0 -61206.581    0  271 -57534.000 -61206.581  6.38%     -    0s
     0     0 -61206.253    0  261 -57534.000 -61206.253  6.38%     -    0s
     0     0 -61206.095    0  259 -57534.000 -61206.095  6.38%     -    0s
     0     0 -61206.033    0  261 -57534.000 -61206.033  6.38%     -    0s
     0     0 -61206.033    0  264 -57534.000 -61206.033  6.38%     -    0s
     0     0 -61203.089    0  290 -57534.000 -61203.089  6.38%     -    0s
     0     0 -61199.840    0  258 -57534.000 -61199.840  6.37%     -    0s
     0     0 -61199.048    0  265 -57534.000 -61199.048  6.37%     -    0s
     0     0 -61198.954    0  280 -57534.000 -61198.954  6.37%     -    0s
     0     0 -61198.953    0  273 -57534.000 -61198.953  6.37%     -    0s
     0     0 -61193.366    0  327 -57534.000 -61193.366  6.36%     -    0s
     0     0 -61190.022    0  319 -57534.000 -61190.022  6.35%     -    1s
     0     0 -61189.937    0  353 -57534.000 -61189.937  6.35%     -    1s
     0     0 -61189.931    0  337 -57534.000 -61189.931  6.35%     -    1s
     0     0 -61173.611    0  311 -57534.000 -61173.611  6.33%     -    1s
     0     0 -61171.592    0  320 -57534.000 -61171.592  6.32%     -    1s
     0     0 -61171.201    0  337 -57534.000 -61171.201  6.32%     -    1s
H    0     0                    -57848.00000 -61171.040  5.74%     -    1s
     0     0 -61171.040    0  337 -57848.000 -61171.040  5.74%     -    1s
     0     0 -61170.999    0  353 -57848.000 -61170.999  5.74%     -    1s
H    0     0                    -58082.00000 -61161.226  5.30%     -    1s
     0     0 -61161.226    0  351 -58082.000 -61161.226  5.30%     -    1s
     0     0 -61158.891    0  359 -58082.000 -61158.891  5.30%     -    1s
     0     0 -61157.019    0  377 -58082.000 -61157.019  5.29%     -    1s
     0     0 -61156.433    0  377 -58082.000 -61156.433  5.29%     -    1s
     0     0 -61156.278    0  379 -58082.000 -61156.278  5.29%     -    1s
     0     0 -61156.207    0  384 -58082.000 -61156.207  5.29%     -    1s
     0     0 -61139.249    0  396 -58082.000 -61139.249  5.26%     -    1s
     0     0 -61135.240    0  365 -58082.000 -61135.240  5.26%     -    2s
     0     0 -61134.583    0  342 -58082.000 -61134.583  5.26%     -    2s
     0     0 -61134.567    0  352 -58082.000 -61134.567  5.26%     -    2s
     0     0 -61102.186    0  352 -58082.000 -61102.186  5.20%     -    2s
     0     0 -61099.013    0  347 -58082.000 -61099.013  5.19%     -    2s
     0     0 -61098.775    0  341 -58082.000 -61098.775  5.19%     -    2s
     0     0 -61098.442    0  337 -58082.000 -61098.442  5.19%     -    2s
     0     0 -61098.373    0  372 -58082.000 -61098.373  5.19%     -    2s
     0     0 -61070.011    0  341 -58082.000 -61070.011  5.14%     -    2s
     0     0 -61059.201    0  414 -58082.000 -61059.201  5.13%     -    2s
     0     0 -61056.235    0  400 -58082.000 -61056.235  5.12%     -    2s
     0     0 -61055.486    0  399 -58082.000 -61055.486  5.12%     -    2s
     0     0 -61055.236    0  382 -58082.000 -61055.236  5.12%     -    2s
     0     0 -61021.997    0  436 -58082.000 -61021.997  5.06%     -    2s
