
Gurobi 9.5.0 (linux64) logging started Wed May  4 10:36:11 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed6_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0xa6cabcce
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 45 rows and 596 columns
Presolve time: 0.03s
Presolved: 935 rows, 6154 columns, 12308 nonzeros
Variable types: 0 continuous, 6154 integer (6154 binary)
Found heuristic solution: objective -42362.00000

Root relaxation: objective -6.479476e+04, 3158 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -64794.760    0  108 -42362.000 -64794.760  53.0%     -    0s
H    0     0                    -56831.00000 -64794.760  14.0%     -    0s
H    0     0                    -56845.00000 -64794.760  14.0%     -    0s
H    0     0                    -58725.00000 -64794.760  10.3%     -    0s
     0     0 -64781.023    0  215 -58725.000 -64781.023  10.3%     -    0s
H    0     0                    -59132.00000 -64781.023  9.55%     -    0s
     0     0 -64778.292    0  213 -59132.000 -64778.292  9.55%     -    0s
     0     0 -64778.292    0  210 -59132.000 -64778.292  9.55%     -    0s
     0     0 -64765.789    0  238 -59132.000 -64765.789  9.53%     -    0s
     0     0 -64765.267    0  218 -59132.000 -64765.267  9.53%     -    0s
     0     0 -64765.248    0  209 -59132.000 -64765.248  9.53%     -    0s
     0     0 -64759.558    0  226 -59132.000 -64759.558  9.52%     -    0s
H    0     0                    -59873.00000 -64759.558  8.16%     -    0s
     0     0 -64758.635    0  212 -59873.000 -64758.635  8.16%     -    0s
     0     0 -64758.635    0  201 -59873.000 -64758.635  8.16%     -    0s
     0     0 -64752.741    0  235 -59873.000 -64752.741  8.15%     -    0s
     0     0 -64751.644    0  237 -59873.000 -64751.644  8.15%     -    0s
     0     0 -64751.536    0  240 -59873.000 -64751.536  8.15%     -    0s
     0     0 -64751.536    0  241 -59873.000 -64751.536  8.15%     -    0s
     0     0 -64742.041    0  282 -59873.000 -64742.041  8.13%     -    1s
H    0     0                    -60179.00000 -64742.041  7.58%     -    1s
     0     0 -64740.717    0  296 -60179.000 -64740.717  7.58%     -    1s
     0     0 -64740.341    0  284 -60179.000 -64740.341  7.58%     -    1s
     0     0 -64740.255    0  290 -60179.000 -64740.255  7.58%     -    1s
     0     0 -64729.824    0  258 -60179.000 -64729.824  7.56%     -    1s
     0     0 -64726.305    0  253 -60179.000 -64726.305  7.56%     -    1s
     0     0 -64726.108    0  291 -60179.000 -64726.108  7.56%     -    1s
     0     0 -64725.968    0  307 -60179.000 -64725.968  7.56%     -    1s
     0     0 -64725.948    0  315 -60179.000 -64725.948  7.56%     -    1s
H    0     0                    -60898.00000 -64714.222  6.27%     -    1s
H    0     0                    -60979.00000 -64714.222  6.13%     -    1s
     0     0 -64714.222    0  344 -60979.000 -64714.222  6.13%     -    1s
H    0     0                    -61071.00000 -64710.295  5.96%     -    1s
     0     0 -64710.295    0  358 -61071.000 -64710.295  5.96%     -    1s
     0     0 -64709.791    0  369 -61071.000 -64709.791  5.96%     -    1s
     0     0 -64709.401    0  356 -61071.000 -64709.401  5.96%     -    1s
     0     0 -64709.206    0  377 -61071.000 -64709.206  5.96%     -    1s
     0     0 -64709.179    0  374 -61071.000 -64709.179  5.96%     -    2s
     0     0 -64688.498    0  374 -61071.000 -64688.498  5.92%     -    2s
     0     0 -64685.739    0  365 -61071.000 -64685.739  5.92%     -    2s
     0     0 -64684.749    0  402 -61071.000 -64684.749  5.92%     -    2s
     0     0 -64684.436    0  415 -61071.000 -64684.436  5.92%     -    2s
     0     0 -64684.394    0  402 -61071.000 -64684.394  5.92%     -    2s
H    0     0                    -61156.00000 -64672.912  5.75%     -    2s
     0     0 -64672.912    0  418 -61156.000 -64672.912  5.75%     -    2s
     0     0 -64671.426    0  404 -61156.000 -64671.426  5.75%     -    2s
     0     0 -64670.825    0  417 -61156.000 -64670.825  5.75%     -    2s
     0     0 -64670.202    0  430 -61156.000 -64670.202  5.75%     -    2s
     0     0 -64669.878    0  418 -61156.000 -64669.878  5.75%     -    2s
     0     0 -64669.870    0  416 -61156.000 -64669.870  5.75%     -    2s
H    0     0                    -61189.00000 -64644.894  5.65%     -    2s
     0     0 -64644.894    0  409 -61189.000 -64644.894  5.65%     -    2s
H    0     0                    -61194.00000 -64644.894  5.64%     -    3s
     0     0 -64641.551    0  388 -61194.000 -64641.551  5.63%     -    3s
     0     0 -64641.107    0  409 -61194.000 -64641.107  5.63%     -    3s
     0     0 -64640.724    0  409 -61194.000 -64640.724  5.63%     -    3s
     0     0 -64640.564    0  426 -61194.000 -64640.564  5.63%     -    3s
