
Gurobi 9.5.0 (linux64) logging started Wed May  4 12:50:46 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed8_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x10e449d4
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 62 rows and 731 columns
Presolve time: 0.03s
Presolved: 918 rows, 6019 columns, 12038 nonzeros
Variable types: 0 continuous, 6019 integer (6019 binary)
Found heuristic solution: objective -41562.00000

Root relaxation: objective -6.348080e+04, 3290 iterations, 0.04 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -63480.795    0  114 -41562.000 -63480.795  52.7%     -    0s
H    0     0                    -55446.00000 -63480.795  14.5%     -    0s
H    0     0                    -55517.00000 -63480.795  14.3%     -    0s
H    0     0                    -57022.00000 -63480.795  11.3%     -    0s
H    0     0                    -57907.00000 -63480.795  9.63%     -    0s
     0     0 -63478.236    0  216 -57907.000 -63478.236  9.62%     -    0s
     0     0 -63477.379    0  206 -57907.000 -63477.379  9.62%     -    0s
H    0     0                    -58359.00000 -63477.069  8.77%     -    0s
     0     0 -63477.069    0  190 -58359.000 -63477.069  8.77%     -    0s
     0     0 -63477.069    0  196 -58359.000 -63477.069  8.77%     -    0s
     0     0 -63472.693    0  229 -58359.000 -63472.693  8.76%     -    0s
H    0     0                    -58764.00000 -63471.680  8.01%     -    0s
     0     0 -63471.680    0  180 -58764.000 -63471.680  8.01%     -    0s
     0     0 -63471.680    0  176 -58764.000 -63471.680  8.01%     -    0s
     0     0 -63467.924    0  247 -58764.000 -63467.924  8.00%     -    0s
     0     0 -63467.698    0  196 -58764.000 -63467.698  8.00%     -    0s
     0     0 -63467.698    0  181 -58764.000 -63467.698  8.00%     -    0s
     0     0 -63465.292    0  266 -58764.000 -63465.292  8.00%     -    0s
H    0     0                    -58901.00000 -63465.145  7.75%     -    0s
     0     0 -63465.145    0  239 -58901.000 -63465.145  7.75%     -    0s
     0     0 -63464.913    0  207 -58901.000 -63464.913  7.75%     -    0s
     0     0 -63464.903    0  186 -58901.000 -63464.903  7.75%     -    0s
     0     0 -63460.566    0  244 -58901.000 -63460.566  7.74%     -    0s
     0     0 -63459.402    0  253 -58901.000 -63459.402  7.74%     -    0s
     0     0 -63459.402    0  234 -58901.000 -63459.402  7.74%     -    0s
     0     0 -63452.475    0  307 -58901.000 -63452.475  7.73%     -    1s
     0     0 -63451.064    0  299 -58901.000 -63451.064  7.72%     -    1s
     0     0 -63449.369    0  258 -58901.000 -63449.369  7.72%     -    1s
H    0     0                    -59288.00000 -63449.331  7.02%     -    1s
     0     0 -63449.331    0  302 -59288.000 -63449.331  7.02%     -    1s
H    0     0                    -59833.00000 -63435.514  6.02%     -    1s
     0     0 -63435.514    0  287 -59833.000 -63435.514  6.02%     -    1s
     0     0 -63434.704    0  283 -59833.000 -63434.704  6.02%     -    1s
     0     0 -63434.656    0  287 -59833.000 -63434.656  6.02%     -    1s
     0     0 -63425.780    0  277 -59833.000 -63425.780  6.00%     -    1s
     0     0 -63424.273    0  291 -59833.000 -63424.273  6.00%     -    1s
     0     0 -63421.782    0  329 -59833.000 -63421.782  6.00%     -    2s
     0     0 -63421.247    0  325 -59833.000 -63421.247  6.00%     -    2s
     0     0 -63421.214    0  317 -59833.000 -63421.214  6.00%     -    2s
     0     0 -63409.859    0  312 -59833.000 -63409.859  5.98%     -    2s
     0     0 -63408.687    0  310 -59833.000 -63408.687  5.98%     -    2s
     0     0 -63408.373    0  334 -59833.000 -63408.373  5.98%     -    2s
     0     0 -63407.627    0  339 -59833.000 -63407.627  5.97%     -    2s
     0     0 -63407.199    0  314 -59833.000 -63407.199  5.97%     -    2s
     0     0 -63406.964    0  328 -59833.000 -63406.964  5.97%     -    2s
     0     0 -63406.947    0  327 -59833.000 -63406.947  5.97%     -    2s
H    0     0                    -60063.00000 -63393.718  5.55%     -    2s
     0     0 -63393.718    0  341 -60063.000 -63393.718  5.55%     -    2s
     0     0 -63392.937    0  376 -60063.000 -63392.937  5.54%     -    3s
     0     0 -63391.748    0  376 -60063.000 -63391.748  5.54%     -    3s
     0     0 -63391.082    0  382 -60063.000 -63391.082  5.54%     -    3s
     0     0 -63390.133    0  385 -60063.000 -63390.133  5.54%     -    3s
     0     0 -63389.746    0  404 -60063.000 -63389.746  5.54%     -    3s
     0     0 -63389.529    0  395 -60063.000 -63389.529  5.54%     -    3s
     0     0 -63389.438    0  411 -60063.000 -63389.438  5.54%     -    3s
     0     0 -63371.510    0  464 -60063.000 -63371.510  5.51%     -    3s
