
Gurobi 9.5.0 (linux64) logging started Wed May  4 14:13:20 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N200_seed9_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0xaef79e80
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [5e+01, 9e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 98 rows and 965 columns
Presolve time: 0.03s
Presolved: 882 rows, 5785 columns, 11570 nonzeros
Variable types: 0 continuous, 5785 integer (5785 binary)
Found heuristic solution: objective -41016.00000

Root relaxation: objective -6.178602e+04, 3168 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -61786.021    0  134 -41016.000 -61786.021  50.6%     -    0s
H    0     0                    -54345.00000 -61786.021  13.7%     -    0s
H    0     0                    -56273.00000 -61786.021  9.80%     -    0s
     0     0 -61775.034    0  231 -56273.000 -61775.034  9.78%     -    0s
     0     0 -61774.675    0  208 -56273.000 -61774.675  9.78%     -    0s
     0     0 -61774.672    0  208 -56273.000 -61774.672  9.78%     -    0s
     0     0 -61765.671    0  238 -56273.000 -61765.671  9.76%     -    0s
     0     0 -61765.375    0  224 -56273.000 -61765.375  9.76%     -    0s
     0     0 -61765.375    0  227 -56273.000 -61765.375  9.76%     -    0s
     0     0 -61765.375    0  228 -56273.000 -61765.375  9.76%     -    0s
     0     0 -61756.993    0  257 -56273.000 -61756.993  9.75%     -    0s
     0     0 -61755.533    0  243 -56273.000 -61755.533  9.74%     -    0s
     0     0 -61755.232    0  237 -56273.000 -61755.232  9.74%     -    0s
     0     0 -61755.223    0  224 -56273.000 -61755.223  9.74%     -    0s
     0     0 -61747.575    0  265 -56273.000 -61747.575  9.73%     -    0s
     0     0 -61745.380    0  263 -56273.000 -61745.380  9.72%     -    0s
     0     0 -61743.580    0  290 -56273.000 -61743.580  9.72%     -    0s
     0     0 -61743.356    0  274 -56273.000 -61743.356  9.72%     -    0s
     0     0 -61743.349    0  264 -56273.000 -61743.349  9.72%     -    0s
     0     0 -61729.225    0  300 -56273.000 -61729.225  9.70%     -    0s
H    0     0                    -56373.00000 -61729.225  9.50%     -    0s
     0     0 -61728.230    0  306 -56373.000 -61728.230  9.50%     -    0s
     0     0 -61728.066    0  304 -56373.000 -61728.066  9.50%     -    0s
     0     0 -61728.002    0  297 -56373.000 -61728.002  9.50%     -    1s
H    0     0                    -56786.00000 -61712.776  8.68%     -    1s
     0     0 -61712.776    0  344 -56786.000 -61712.776  8.68%     -    1s
     0     0 -61707.652    0  371 -56786.000 -61707.652  8.67%     -    1s
H    0     0                    -58117.00000 -61707.206  6.18%     -    1s
     0     0 -61707.206    0  369 -58117.000 -61707.206  6.18%     -    1s
     0     0 -61707.055    0  372 -58117.000 -61707.055  6.18%     -    1s
     0     0 -61707.042    0  364 -58117.000 -61707.042  6.18%     -    1s
H    0     0                    -58242.00000 -61695.019  5.93%     -    1s
     0     0 -61695.019    0  354 -58242.000 -61695.019  5.93%     -    1s
     0     0 -61690.917    0  348 -58242.000 -61690.917  5.92%     -    1s
     0     0 -61690.199    0  362 -58242.000 -61690.199  5.92%     -    1s
     0     0 -61690.017    0  365 -58242.000 -61690.017  5.92%     -    1s
H    0     0                    -58367.00000 -61689.441  5.69%     -    1s
     0     0 -61689.441    0  344 -58367.000 -61689.441  5.69%     -    1s
     0     0 -61689.246    0  368 -58367.000 -61689.246  5.69%     -    1s
     0     0 -61689.039    0  367 -58367.000 -61689.039  5.69%     -    2s
     0     0 -61688.704    0  375 -58367.000 -61688.704  5.69%     -    2s
     0     0 -61688.685    0  397 -58367.000 -61688.685  5.69%     -    2s
     0     0 -61674.830    0  397 -58367.000 -61674.830  5.67%     -    2s
     0     0 -61671.902    0  419 -58367.000 -61671.902  5.66%     -    2s
     0     0 -61670.011    0  411 -58367.000 -61670.011  5.66%     -    2s
     0     0 -61669.618    0  416 -58367.000 -61669.618  5.66%     -    2s
H    0     0                    -58973.00000 -61669.139  4.57%     -    2s
     0     0 -61669.139    0  416 -58973.000 -61669.139  4.57%     -    2s
     0     0 -61668.755    0  423 -58973.000 -61668.755  4.57%     -    2s
     0     0 -61668.174    0  424 -58973.000 -61668.174  4.57%     -    2s
     0     0 -61668.098    0  429 -58973.000 -61668.098  4.57%     -    2s
     0     0 -61626.702    0  431 -58973.000 -61626.702  4.50%     -    2s
     0     0 -61620.478    0  447 -58973.000 -61620.478  4.49%     -    2s
     0     0 -61617.294    0  491 -58973.000 -61617.294  4.48%     -    2s
     0     0 -61614.674    0  494 -58973.000 -61614.674  4.48%     -    3s
     0     0 -61614.092    0  494 -58973.000 -61614.092  4.48%     -    3s
