
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 01:34:53 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N300_seed1_DWcutsCT4_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 11321 rows, 9750 columns and 149242 nonzeros
Model fingerprint: 0x02197ff1
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 8e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 1263 rows and 594 columns
Presolve time: 0.44s
Presolved: 10058 rows, 9156 columns, 128550 nonzeros
Found heuristic solution: objective -6939.000000
Variable types: 0 continuous, 9156 integer (9156 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   24074   -9.6162851e+04   1.263558e+04   0.000000e+00      5s
   27867   -9.6110010e+04   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -9.611001e+04, 27867 iterations, 6.28 seconds (7.46 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -96110.010    0  485 -6939.0000 -96110.010  1285%     -    7s
H    0     0                    -84870.00000 -96110.010  13.2%     -    7s
H    0     0                    -92884.00000 -96110.010  3.47%     -    7s
H    0     0                    -94682.00000 -96110.010  1.51%     -    7s
H    0     0                    -94708.00000 -96110.010  1.48%     -    8s
     0     0 -96110.010    0  482 -94708.000 -96110.010  1.48%     -    8s
H    0     0                    -95087.00000 -96110.010  1.08%     -   10s
H    0     0                    -95104.00000 -96110.010  1.06%     -   11s
     0     0 -96110.005    0  568 -95104.000 -96110.005  1.06%     -   11s
     0     0 -96110.005    0  582 -95104.000 -96110.005  1.06%     -   11s
     0     0 -96109.950    0  666 -95104.000 -96109.950  1.06%     -   12s
     0     0 -96109.868    0  675 -95104.000 -96109.868  1.06%     -   12s
     0     0 -96109.846    0  658 -95104.000 -96109.846  1.06%     -   12s
     0     0 -96109.612    0  615 -95104.000 -96109.612  1.06%     -   13s
     0     0 -96109.596    0  606 -95104.000 -96109.596  1.06%     -   13s
     0     0 -96109.595    0  600 -95104.000 -96109.595  1.06%     -   13s
     0     0 -96109.531    0  604 -95104.000 -96109.531  1.06%     -   13s
     0     0 -96109.471    0  574 -95104.000 -96109.471  1.06%     -   13s
     0     0 -96109.465    0  573 -95104.000 -96109.465  1.06%     -   13s
     0     0 -96109.013    0  660 -95104.000 -96109.013  1.06%     -   14s
     0     0 -96108.878    0  673 -95104.000 -96108.878  1.06%     -   14s
     0     0 -96108.878    0  673 -95104.000 -96108.878  1.06%     -   14s
     0     0 -96108.148    0  664 -95104.000 -96108.148  1.06%     -   14s
     0     0 -96108.033    0  635 -95104.000 -96108.033  1.06%     -   15s
     0     0 -96107.694    0  653 -95104.000 -96107.694  1.06%     -   15s
     0     0 -96107.674    0  691 -95104.000 -96107.674  1.06%     -   15s
     0     0 -96107.473    0  658 -95104.000 -96107.473  1.06%     -   15s
     0     0 -96107.244    0  689 -95104.000 -96107.244  1.05%     -   15s
     0     0 -96107.244    0  690 -95104.000 -96107.244  1.05%     -   15s
     0     0 -96107.229    0  692 -95104.000 -96107.229  1.05%     -   16s
     0     0 -96107.229    0  679 -95104.000 -96107.229  1.05%     -   23s
     0     2 -96107.229    0  679 -95104.000 -96107.229  1.05%     -   24s
     1     4 -96104.952    1  648 -95104.000 -96107.229  1.05%   774   30s
     7    10 -96096.099    3  698 -95104.000 -96104.320  1.05%   593   37s
    15    18 -96090.672    5  702 -95104.000 -96103.516  1.05%   629   40s
H   29    32                    -95223.00000 -96103.516  0.92%   599   48s
H   30    32                    -95271.00000 -96103.516  0.87%   601   48s
    33    39 -96087.426    9  607 -95271.000 -96103.516  0.87%   602   50s
H   65    70                    -95318.00000 -96103.516  0.82%   497   57s
    71    92 -96057.101   18  633 -95318.000 -96103.516  0.82%   510   60s
   118   143 -96059.884   24  590 -95318.000 -96103.516  0.82%   453   66s
   176   208 -96050.301   34  715 -95318.000 -96103.516  0.82%   403   71s
H  213   208                    -95406.00000 -96103.516  0.73%   372   71s
   240   276 -96033.984   47  625 -95406.000 -96103.516  0.73%   370   76s
   311   352 -96021.264   57  552 -95406.000 -96103.516  0.73%   345   80s
H  358   368                    -95483.00000 -96103.516  0.65%   341   83s
   374   426 -96012.444   67  613 -95483.000 -96103.516  0.65%   336   86s
   521   571 -95826.609   98  534 -95483.000 -96103.516  0.65%   304   91s
   674   709 -95954.097  110  495 -95483.000 -96103.516  0.65%   287   97s
H  700   706                    -95527.00000 -96103.516  0.60%   288   97s
   847   911 -95867.473  146  351 -95527.000 -96103.516  0.60%   271  102s
H  857   907                    -95562.00000 -96103.516  0.57%   272  102s
