
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 08:40:32 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M10_N300_seed2_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 560 rows, 3250 columns and 6500 nonzeros
Model fingerprint: 0x675e5107
Variable types: 0 continuous, 3250 integer (3250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  Objective range  [3e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 10 rows and 10 columns
Presolve time: 0.01s
Presolved: 550 rows, 3240 columns, 6480 nonzeros
Variable types: 0 continuous, 3240 integer (3240 binary)
Found heuristic solution: objective -55607.00000

Root relaxation: objective -7.328038e+04, 1874 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -73280.376    0   54 -55607.000 -73280.376  31.8%     -    0s
H    0     0                    -56635.00000 -73280.376  29.4%     -    0s
H    0     0                    -65772.00000 -73280.376  11.4%     -    0s
     0     0 -73262.256    0  152 -65772.000 -73262.256  11.4%     -    0s
     0     0 -73261.294    0  146 -65772.000 -73261.294  11.4%     -    0s
H    0     0                    -65859.00000 -73074.808  11.0%     -    0s
H    0     0                    -65991.00000 -73074.808  10.7%     -    0s
     0     0 -73074.808    0  209 -65991.000 -73074.808  10.7%     -    0s
H    0     0                    -66231.00000 -73074.808  10.3%     -    0s
     0     0 -73030.309    0  176 -66231.000 -73030.309  10.3%     -    0s
     0     0 -72999.228    0  171 -66231.000 -72999.228  10.2%     -    0s
     0     0 -72995.100    0  167 -66231.000 -72995.100  10.2%     -    0s
     0     0 -72992.728    0  181 -66231.000 -72992.728  10.2%     -    0s
     0     0 -72992.728    0  163 -66231.000 -72992.728  10.2%     -    0s
H    0     0                    -66292.00000 -72550.286  9.44%     -    0s
     0     0 -72550.286    0  224 -66292.000 -72550.286  9.44%     -    0s
     0     0 -72490.345    0  196 -66292.000 -72490.345  9.35%     -    0s
     0     0 -72472.322    0  198 -66292.000 -72472.322  9.32%     -    0s
     0     0 -72463.998    0  214 -66292.000 -72463.998  9.31%     -    0s
     0     0 -72448.547    0  209 -66292.000 -72448.547  9.29%     -    0s
     0     0 -72448.547    0  211 -66292.000 -72448.547  9.29%     -    0s
     0     0 -72070.884    0  263 -66292.000 -72070.884  8.72%     -    0s
     0     0 -71899.047    0  277 -66292.000 -71899.047  8.46%     -    0s
     0     0 -71881.466    0  287 -66292.000 -71881.466  8.43%     -    0s
     0     0 -71842.787    0  253 -66292.000 -71842.787  8.37%     -    0s
     0     0 -71829.129    0  260 -66292.000 -71829.129  8.35%     -    0s
     0     0 -71821.496    0  252 -66292.000 -71821.496  8.34%     -    0s
     0     0 -71820.114    0  264 -66292.000 -71820.114  8.34%     -    0s
H    0     0                    -66296.00000 -71820.114  8.33%     -    0s
     0     0 -71820.114    0  255 -66296.000 -71820.114  8.33%     -    0s
     0     0 -71637.628    0  226 -66296.000 -71637.628  8.06%     -    0s
     0     0 -71592.466    0  246 -66296.000 -71592.466  7.99%     -    0s
     0     0 -71589.307    0  260 -66296.000 -71589.307  7.98%     -    0s
     0     0 -71578.509    0  265 -66296.000 -71578.509  7.97%     -    0s
     0     0 -71572.201    0  262 -66296.000 -71572.201  7.96%     -    0s
     0     0 -71500.128    0  260 -66296.000 -71500.128  7.85%     -    0s
     0     0 -71494.450    0  242 -66296.000 -71494.450  7.84%     -    0s
     0     0 -71466.370    0  254 -66296.000 -71466.370  7.80%     -    0s
     0     0 -71464.312    0  238 -66296.000 -71464.312  7.80%     -    0s
     0     0 -71462.571    0  248 -66296.000 -71462.571  7.79%     -    0s
     0     0 -71217.757    0  323 -66296.000 -71217.757  7.42%     -    0s
H    0     0                    -66299.00000 -71177.608  7.36%     -    0s
     0     0 -71177.608    0  350 -66299.000 -71177.608  7.36%     -    0s
     0     0 -71146.697    0  332 -66299.000 -71146.697  7.31%     -    0s
H    0     0                    -66780.00000 -71101.388  6.47%     -    0s
     0     0 -71101.388    0  328 -66780.000 -71101.388  6.47%     -    0s
     0     0 -71021.779    0  301 -66780.000 -71021.779  6.35%     -    0s
H    0     0                    -66795.00000 -71018.818  6.32%     -    0s
     0     0 -71018.818    0  315 -66795.000 -71018.818  6.32%     -    0s
     0     0 -70713.871    0  323 -66795.000 -70713.871  5.87%     -    0s
     0     0 -70477.626    0  293 -66795.000 -70477.626  5.51%     -    1s
     0     0 -70457.505    0  314 -66795.000 -70457.505  5.48%     -    1s
     0     0 -70454.068    0  314 -66795.000 -70454.068  5.48%     -    1s
     0     0 -69978.633    0  283 -66795.000 -69978.633  4.77%     -    1s
     0     0 -69929.736    0  368 -66795.000 -69929.736  4.69%     -    1s
     0     0 -69822.593    0  369 -66795.000 -69822.593  4.53%     -    1s
