
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 09:00:34 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M10_N300_seed8_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 560 rows, 3250 columns and 6500 nonzeros
Model fingerprint: 0x0f877a79
Variable types: 0 continuous, 3250 integer (3250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  Objective range  [5e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 10 rows and 10 columns
Presolve time: 0.01s
Presolved: 550 rows, 3240 columns, 6480 nonzeros
Variable types: 0 continuous, 3240 integer (3240 binary)
Found heuristic solution: objective -46974.00000

Root relaxation: objective -6.904981e+04, 1859 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -69049.814    0   49 -46974.000 -69049.814  47.0%     -    0s
H    0     0                    -60815.00000 -69049.814  13.5%     -    0s
H    0     0                    -60899.00000 -69049.814  13.4%     -    0s
H    0     0                    -61447.00000 -69049.814  12.4%     -    0s
     0     0 -68805.093    0  138 -61447.000 -68805.093  12.0%     -    0s
     0     0 -68799.115    0  138 -61447.000 -68799.115  12.0%     -    0s
     0     0 -68428.614    0  181 -61447.000 -68428.614  11.4%     -    0s
H    0     0                    -61637.00000 -68428.614  11.0%     -    0s
     0     0 -68416.864    0  183 -61637.000 -68416.864  11.0%     -    0s
     0     0 -68415.599    0  196 -61637.000 -68415.599  11.0%     -    0s
     0     0 -68413.832    0  197 -61637.000 -68413.832  11.0%     -    0s
     0     0 -68413.559    0  206 -61637.000 -68413.559  11.0%     -    0s
     0     0 -68054.437    0  220 -61637.000 -68054.437  10.4%     -    0s
H    0     0                    -62068.00000 -68054.437  9.64%     -    0s
     0     0 -67930.669    0  255 -62068.000 -67930.669  9.45%     -    0s
     0     0 -67893.621    0  268 -62068.000 -67893.621  9.39%     -    0s
     0     0 -67891.961    0  265 -62068.000 -67891.961  9.38%     -    0s
     0     0 -67887.487    0  279 -62068.000 -67887.487  9.38%     -    0s
     0     0 -67887.392    0  273 -62068.000 -67887.392  9.38%     -    0s
     0     0 -67481.192    0  309 -62068.000 -67481.192  8.72%     -    0s
H    0     0                    -62225.00000 -67481.192  8.45%     -    0s
H    0     0                    -62317.00000 -67403.796  8.16%     -    0s
     0     0 -67403.796    0  324 -62317.000 -67403.796  8.16%     -    0s
     0     0 -67341.990    0  319 -62317.000 -67341.990  8.06%     -    0s
     0     0 -67236.708    0  292 -62317.000 -67236.708  7.89%     -    0s
     0     0 -67226.154    0  299 -62317.000 -67226.154  7.88%     -    0s
     0     0 -67176.205    0  285 -62317.000 -67176.205  7.80%     -    0s
     0     0 -67176.042    0  278 -62317.000 -67176.042  7.80%     -    0s
     0     0 -66776.012    0  298 -62317.000 -66776.012  7.16%     -    0s
H    0     0                    -62517.00000 -66776.012  6.81%     -    0s
     0     0 -66660.168    0  342 -62517.000 -66660.168  6.63%     -    0s
     0     0 -66614.879    0  318 -62517.000 -66614.879  6.55%     -    0s
     0     0 -66580.933    0  354 -62517.000 -66580.933  6.50%     -    0s
     0     0 -66565.672    0  345 -62517.000 -66565.672  6.48%     -    0s
     0     0 -66565.350    0  322 -62517.000 -66565.350  6.48%     -    0s
     0     0 -66174.729    0  365 -62517.000 -66174.729  5.85%     -    0s
     0     0 -66086.641    0  391 -62517.000 -66086.641  5.71%     -    0s
     0     0 -66075.295    0  380 -62517.000 -66075.295  5.69%     -    0s
     0     0 -66060.232    0  373 -62517.000 -66060.232  5.67%     -    0s
     0     0 -66052.260    0  380 -62517.000 -66052.260  5.65%     -    0s
     0     0 -66014.976    0  381 -62517.000 -66014.976  5.60%     -    0s
     0     0 -65997.573    0  374 -62517.000 -65997.573  5.57%     -    0s
     0     0 -65997.573    0  362 -62517.000 -65997.573  5.57%     -    0s
     0     0 -65690.260    0  355 -62517.000 -65690.260  5.08%     -    0s
H    0     0                    -62519.00000 -65543.068  4.84%     -    0s
     0     0 -65543.068    0  364 -62519.000 -65543.068  4.84%     -    0s
     0     0 -65488.996    0  321 -62519.000 -65488.996  4.75%     -    0s
     0     0 -65460.988    0  364 -62519.000 -65460.988  4.71%     -    0s
     0     0 -65458.550    0  395 -62519.000 -65458.550  4.70%     -    0s
     0     0 -65143.448    0  372 -62519.000 -65143.448  4.20%     -    0s
     0     0 -65084.888    0  341 -62519.000 -65084.888  4.10%     -    1s
     0     0 -65068.930    0  311 -62519.000 -65068.930  4.08%     -    1s
     0     0 -65067.616    0  338 -62519.000 -65067.616  4.08%     -    1s
     0     0 -64787.330    0  367 -62519.000 -64787.330  3.63%     -    1s
H    0     0                    -62697.00000 -64787.330  3.33%     -    1s
     0     0 -64684.624    0  328 -62697.000 -64684.624  3.17%     -    1s
