
Gurobi 9.5.0 (linux64) logging started Wed May  4 11:06:42 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N200_seed6_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x63f48967
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 138 rows and 1286 columns
Presolve time: 0.03s
Presolved: 842 rows, 5464 columns, 10928 nonzeros
Variable types: 0 continuous, 5464 integer (5464 binary)
Found heuristic solution: objective -47320.00000

Root relaxation: objective -6.771007e+04, 2862 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -67710.074    0  114 -47320.000 -67710.074  43.1%     -    0s
H    0     0                    -62295.00000 -67710.074  8.69%     -    0s
H    0     0                    -62811.00000 -67710.074  7.80%     -    0s
H    0     0                    -63276.00086 -67710.074  7.01%     -    0s
H    0     0                    -63765.00000 -67710.074  6.19%     -    0s
     0     0 -67705.911    0  208 -63765.000 -67705.911  6.18%     -    0s
     0     0 -67705.832    0  186 -63765.000 -67705.832  6.18%     -    0s
     0     0 -67705.832    0  190 -63765.000 -67705.832  6.18%     -    0s
     0     0 -67701.117    0  214 -63765.000 -67701.117  6.17%     -    0s
     0     0 -67699.741    0  165 -63765.000 -67699.741  6.17%     -    0s
     0     0 -67699.305    0  169 -63765.000 -67699.305  6.17%     -    0s
     0     0 -67699.305    0  169 -63765.000 -67699.305  6.17%     -    0s
     0     0 -67693.818    0  272 -63765.000 -67693.818  6.16%     -    0s
H    0     0                    -64228.00000 -67692.663  5.39%     -    0s
     0     0 -67692.663    0  220 -64228.000 -67692.663  5.39%     -    0s
     0     0 -67692.313    0  246 -64228.000 -67692.313  5.39%     -    0s
     0     0 -67691.820    0  225 -64228.000 -67691.820  5.39%     -    0s
     0     0 -67691.820    0  214 -64228.000 -67691.820  5.39%     -    0s
     0     0 -67676.918    0  278 -64228.000 -67676.918  5.37%     -    0s
     0     0 -67675.415    0  288 -64228.000 -67675.415  5.37%     -    0s
     0     0 -67675.264    0  292 -64228.000 -67675.264  5.37%     -    0s
     0     0 -67675.147    0  279 -64228.000 -67675.147  5.37%     -    0s
     0     0 -67675.112    0  275 -64228.000 -67675.112  5.37%     -    0s
H    0     0                    -64252.00000 -67661.767  5.31%     -    0s
H    0     0                    -64253.00000 -67661.767  5.31%     -    0s
     0     0 -67661.767    0  312 -64253.000 -67661.767  5.31%     -    0s
     0     0 -67653.863    0  296 -64253.000 -67653.863  5.29%     -    0s
     0     0 -67650.601    0  292 -64253.000 -67650.601  5.29%     -    0s
     0     0 -67650.404    0  298 -64253.000 -67650.404  5.29%     -    0s
     0     0 -67650.251    0  323 -64253.000 -67650.251  5.29%     -    0s
     0     0 -67650.187    0  332 -64253.000 -67650.187  5.29%     -    0s
     0     0 -67631.971    0  339 -64253.000 -67631.971  5.26%     -    1s
H    0     0                    -64392.00000 -67631.971  5.03%     -    1s
     0     0 -67616.855    0  339 -64392.000 -67616.855  5.01%     -    1s
     0     0 -67614.004    0  343 -64392.000 -67614.004  5.00%     -    1s
     0     0 -67613.933    0  373 -64392.000 -67613.933  5.00%     -    1s
     0     0 -67595.312    0  421 -64392.000 -67595.312  4.97%     -    1s
     0     0 -67591.863    0  413 -64392.000 -67591.863  4.97%     -    1s
     0     0 -67588.960    0  414 -64392.000 -67588.960  4.96%     -    1s
     0     0 -67587.346    0  392 -64392.000 -67587.346  4.96%     -    1s
H    0     0                    -64635.00000 -67586.204  4.57%     -    1s
     0     0 -67586.204    0  389 -64635.000 -67586.204  4.57%     -    1s
     0     0 -67585.895    0  382 -64635.000 -67585.895  4.57%     -    1s
     0     0 -67585.808    0  384 -64635.000 -67585.808  4.57%     -    1s
     0     0 -67534.352    0  413 -64635.000 -67534.352  4.49%     -    1s
H    0     0                    -64872.00000 -67523.512  4.09%     -    2s
     0     0 -67523.512    0  413 -64872.000 -67523.512  4.09%     -    2s
H    0     0                    -64920.00000 -67520.752  4.01%     -    2s
     0     0 -67520.752    0  426 -64920.000 -67520.752  4.01%     -    2s
     0     0 -67519.885    0  422 -64920.000 -67519.885  4.00%     -    2s
     0     0 -67519.107    0  443 -64920.000 -67519.107  4.00%     -    2s
     0     0 -67518.940    0  434 -64920.000 -67518.940  4.00%     -    2s
     0     0 -67467.681    0  453 -64920.000 -67467.681  3.92%     -    2s
H    0     0                    -64927.00000 -67467.681  3.91%     -    2s
     0     0 -67455.556    0  427 -64927.000 -67455.556  3.89%     -    2s
     0     0 -67450.767    0  431 -64927.000 -67450.767  3.89%     -    2s
     0     0 -67447.395    0  440 -64927.000 -67447.395  3.88%     -    2s
