
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 05:34:16 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N300_seed7_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2546 rows, 9750 columns and 38311 nonzeros
Model fingerprint: 0x0d0eb01d
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 69 rows and 759 columns
Presolve time: 0.09s
Presolved: 2477 rows, 8991 columns, 35244 nonzeros
Variable types: 0 continuous, 8991 integer (8991 binary)
Found heuristic solution: objective -7567.000000

Root relaxation: objective -9.255824e+04, 13363 iterations, 0.82 seconds (0.76 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -92558.236    0  519 -7567.0000 -92558.236  1123%     -    1s
H    0     0                    -78749.00000 -92558.236  17.5%     -    1s
H    0     0                    -85641.00027 -92558.236  8.08%     -    1s
H    0     0                    -86873.00000 -92558.236  6.54%     -    2s
H    0     0                    -87032.00000 -92558.236  6.35%     -    3s
H    0     0                    -89057.00008 -92558.236  3.93%     -    3s
     0     0 -92558.236    0  577 -89057.000 -92558.236  3.93%     -    3s
H    0     0                    -89322.00000 -92558.236  3.62%     -    3s
     0     0 -92558.236    0  532 -89322.000 -92558.236  3.62%     -    3s
H    0     0                    -89586.00000 -92558.236  3.32%     -    4s
     0     0 -92558.236    0  486 -89586.000 -92558.236  3.32%     -    4s
     0     0 -92558.236    0  428 -89586.000 -92558.236  3.32%     -    4s
     0     0 -92558.236    0  416 -89586.000 -92558.236  3.32%     -    5s
H    0     0                    -90181.00000 -92558.236  2.64%     -    5s
H    0     0                    -91044.00000 -92558.236  1.66%     -    5s
     0     0 -92558.236    0  356 -91044.000 -92558.236  1.66%     -    5s
     0     0 -92558.236    0  511 -91044.000 -92558.236  1.66%     -    6s
     0     0 -92558.236    0  481 -91044.000 -92558.236  1.66%     -    8s
     0     2 -92558.236    0  408 -91044.000 -92558.236  1.66%     -    9s
     1     4 -92558.236    1  424 -91044.000 -92558.236  1.66%  2899   11s
     7    12 -92558.236    3  497 -91044.000 -92558.236  1.66%  1576   16s
    23    30 -92558.236    5  388 -91044.000 -92558.236  1.66%  1420   20s
H   29    34                    -91304.00000 -92558.236  1.37%  1277   21s
H   31    34                    -91503.00000 -92558.236  1.15%  1239   21s
    55    64 -92558.236   10  402 -91503.000 -92558.236  1.15%  1173   25s
H   65    68                    -91516.00000 -92558.236  1.14%  1088   26s
H   66    68                    -91585.00000 -92558.236  1.06%  1085   26s
H   98   111                    -91677.00000 -92558.236  0.96%  1031   31s
H   99   111                    -91698.00000 -92558.236  0.94%  1027   31s
H  109   111                    -91805.00000 -92558.236  0.82%   984   31s
   140   179 -92558.236   24  382 -91805.000 -92558.236  0.82%   972   35s
H  178   184                    -91883.00000 -92558.236  0.73%   925   38s
H  179   184                    -91909.00000 -92558.236  0.71%   922   38s
   183   228 -92455.130   29  267 -91909.000 -92558.236  0.71%   926   43s
   227   308 -92558.107   36  318 -91909.000 -92558.236  0.71%   879   46s
   311   385 -92548.643   48  354 -91909.000 -92558.236  0.71%   848   50s
H  340   385                    -91950.00000 -92558.236  0.66%   839   50s
   388   437 -92551.851   55  333 -91950.000 -92558.236  0.66%   795   56s
H  400   437                    -91958.00000 -92558.236  0.65%   788   56s
   440   599 -92507.901   66  342 -91958.000 -92558.236  0.65%   807   60s
   773   762 -92526.267   36  340 -91958.000 -92558.236  0.65%   679   67s
H  785   760                    -91990.00000 -92558.236  0.62%   676   67s
   821   817 -92525.744   47  329 -91990.000 -92558.236  0.62%   692   72s
   882   939 -92453.903   47  287 -91990.000 -92558.236  0.62%   683   75s
H 1030   986                    -92060.00082 -92558.236  0.54%   685   81s
H 1074   963                    -92075.00000 -92558.236  0.52%   682   81s
  1120  1276 -92497.455   78  229 -92075.000 -92558.236  0.52%   694   86s
  1528  1278 -92469.879   79  472 -92075.000 -92558.236  0.52%   616   93s
  1530  1280 -92519.833   67  452 -92075.000 -92558.236  0.52%   615  105s
  1531  1283 -92558.236   13  448 -92075.000 -92558.236  0.52%   627  113s
  1533  1287 -92558.236   14  428 -92075.000 -92558.236  0.52%   628  120s
  1541  1292 -92488.842   15  444 -92075.000 -92558.236  0.52%   628  127s
  1549  1297 -92555.062   16  454 -92075.000 -92558.236  0.52%   627  132s
  1559  1306 -92528.457   17  416 -92075.000 -92558.236  0.52%   627  135s
H 1564  1239                    -92076.00000 -92558.236  0.52%   625  135s
  1575  1251 -92458.661   19  406 -92076.000 -92558.236  0.52%   627  140s
H 1591  1199                    -92115.00000 -92558.236  0.48%   627  144s
